CAS,InChIKey,Score
"111-27-3","GHVNFZFCNZKVNT-UHFFFAOYSA-N","1"
"111-49-9","ZSIQJIWKELUFRJ-UHFFFAOYSA-N","0"
"111-55-7","JTXMVXSTHSMVQF-UHFFFAOYSA-N","0"
"111-60-4","RFVNOJDQRGSOEL-UHFFFAOYSA-N","1"
"111-69-3","BTGRAWJCKBQKAO-UHFFFAOYSA-N","0"
"111-78-4","VYXHVRARDIDEHS-QGTKBVGQSA-N","0"
"111-87-5","KBPLFHHGFOOTCA-UHFFFAOYSA-N","1"
"111-97-7","NDVLTZFQVDXFAN-UHFFFAOYSA-N","0"
"11138-60-6","ZDIYIODMIWSRET-UHFFFAOYSA-N","0"
"111381-89-6","SOONNKHXNUDREF-UHFFFAOYSA-N","0"
"111381-90-9","ILVKYQKHSCWQAW-UHFFFAOYSA-N","0"
"111381-91-0","ACBFJMAXNZVRRX-UHFFFAOYSA-N","0"
"1115-20-4","SZCWBURCISJFEZ-UHFFFAOYSA-N","0"
"1118-92-9","VHRUBWHAOUIMDW-UHFFFAOYSA-N","0"
"111960-92-0","PCEZUHYPKVRJEN-UHFFFAOYSA-L","0"
"112-18-5","YWFWDNVOPHGWMX-UHFFFAOYSA-N","0"
"112-18-5","YWFWDNVOPHGWMX-UHFFFAOYSA-N","0"
"112-30-1","MWKFXSUHUHTGQN-UHFFFAOYSA-N","1"
"112-42-5","ZWRUINPWMLAQRD-UHFFFAOYSA-N","1"
"112-52-7","YAYNEUUHHLGGAH-UHFFFAOYSA-N","0"
"112-53-8","LQZZUXJYWNFBMV-UHFFFAOYSA-N","1"
"112-69-6","NHLUVTZJQOJKCC-UHFFFAOYSA-N","0"
"112-69-6","NHLUVTZJQOJKCC-UHFFFAOYSA-N","0"
"112-70-9","XFRVVPUIAFSTFO-UHFFFAOYSA-N","1"
"112-72-1","HLZKNKRTKFSKGZ-UHFFFAOYSA-N","1"
"112-75-4","SFBHPFQSSDCYSL-UHFFFAOYSA-N","0"
"112-75-4","SFBHPFQSSDCYSL-UHFFFAOYSA-N","0"
