CAS,InChIKey,Score
"38103-06-9","MQAHXEQUBNDFGI-UHFFFAOYSA-N","0"
"38900-29-7","XGIRWPYENXRJMZ-UHFFFAOYSA-N","0"
"40601-76-1","XYXJKPCGSGVSBO-UHFFFAOYSA-N","0"
"4088-22-6","VFLWKHBYVIUAMP-UHFFFAOYSA-N","0"
"4088-22-6","VFLWKHBYVIUAMP-UHFFFAOYSA-N","0"
"41484-35-9","VFBJXXJYHWLXRM-UHFFFAOYSA-N","0"
"41663-84-7","JBCHWGTZAAZJKG-UHFFFAOYSA-N","0"
"4193-55-9","YJHDFAAFYNRKQE-YHPRVSEPSA-L","0"
"42222-50-4","AMZKGJLFYCZDMJ-WRBBJXAJSA-N","0"
"4223-03-4","YRDNVESFWXDNSI-UHFFFAOYSA-N","0"
"42615-29-2","GHRHULTYHYEOQB-UHFFFAOYSA-M","0"
"4292-10-8","MRUAUOIMASANKQ-UHFFFAOYSA-N","0"
"4404-43-7","CNGYZEMWVAWWOB-VAWYXSNFSA-N","0"
"4485-12-5","HGPXWXLYXNVULB-UHFFFAOYSA-M","0"
"4499-91-6","OQQBICHQNZEJCC-UHFFFAOYSA-N","0"
"44992-01-0","FZGFBJMPSHGTRQ-UHFFFAOYSA-M","0"
"4553-62-2","FPPLREPCQJZDAQ-UHFFFAOYSA-N","0"
"4635-87-4","UVKXJAUUKPDDNW-NSCUHMNNSA-N","0"
"473-54-1","YYWZKGZIIKPPJZ-UHFFFAOYSA-N","0"
"473-55-2","XOKSLPVRUOBDEW-UHFFFAOYSA-N","0"
"482-89-3","COHYTHOBJLSHDF-BUHFOSPRSA-N","1"
"4904-61-4","ZOLLIQAKMYWTBR-FFWAUJBHSA-N","0"
"4948-28-1","YYWZKGZIIKPPJZ-UHFFFAOYSA-N","0"
"4948-29-2","UBLXSSRRVRLOEO-UHFFFAOYSA-N","0"
"5039-78-1","RRHXZLALVWBDKH-UHFFFAOYSA-M","0"
"50594-66-6","NUFNQYOELLVIPL-UHFFFAOYSA-N","0"
"513-35-9","BKOOMYPCSUNDGP-UHFFFAOYSA-N","0"
"513-35-9","BKOOMYPCSUNDGP-UHFFFAOYSA-N","0"
"51580-86-0","PYILKOIEIHHYGD-UHFFFAOYSA-M","0"
"5165-97-9","FWFUWXVFYKCSQA-UHFFFAOYSA-M","0"
"5188-07-8","RMBAVIFYHOYIFM-UHFFFAOYSA-M","0"
"52166-72-0","RANCECPPZPIPNO-UHFFFAOYSA-N","1"
"526-75-0","QWBBPBRQALCEIZ-UHFFFAOYSA-N","0"
"5281-04-9","PZTQVMXMKVTIRC-RZLHGTIFSA-L","0"
"52898-18-7","WEAGIKYKIOBREP-UHFFFAOYSA-N","0"
"53422-16-5","XZMLMTGOWVWIRV-DUGSHLAESA-N","0"
"53894-23-8","KCKUULIJQMLXLI-UHFFFAOYSA-N","0"
"53894-23-8","KCKUULIJQMLXLI-UHFFFAOYSA-N","0"
"53980-88-4","RYKIXDBAIYMFDV-UHFFFAOYSA-N","0"
"5419-55-6","NHDIQVFFNDKAQU-UHFFFAOYSA-N","0"
"54261-67-5","BQGHVUIRQKWVEJ-UHFFFAOYSA-L","0"
"543-39-5","DUNCVNHORHNONW-UHFFFAOYSA-N","0"
"5468-75-7","LQZFGPJGXVFSTR-LMXNTIJMSA-N","0"
"55-63-0","SNIOPGDIGTZGOP-UHFFFAOYSA-N","1"
"550-44-7","YCCILVSKPBXVIP-UHFFFAOYSA-N","1"
"550-44-7","YCCILVSKPBXVIP-UHFFFAOYSA-N","1"
"554-13-2","XGZVUEUWXADBQD-UHFFFAOYSA-L","1"
"557-04-0","HQKMJHAJHXVSDF-UHFFFAOYSA-L","1"
"558-37-2","PKXHXOTZMFCXSH-UHFFFAOYSA-N","0"
"56-93-9","QXKHYNVANLEOEG-UHFFFAOYSA-N","1"
"563-47-3","OHXAOPZTJOUYKM-UHFFFAOYSA-N","1"
"563-47-3","OHXAOPZTJOUYKM-UHFFFAOYSA-N","1"
"563-80-4","SYBYTAAJFKOIEJ-UHFFFAOYSA-N","1"
"563-80-4","SYBYTAAJFKOIEJ-UHFFFAOYSA-N","1"
"57-55-6","DNIAPMSPPWPWGF-UHFFFAOYSA-N","1"
"57110-29-9","XLBVNMSMFQMKEY-UHFFFAOYSA-N","0"
"576-26-1","NXXYKOUNUYWIHA-UHFFFAOYSA-N","0"
"5766-67-6","FDWRKVKXYZRYOD-UHFFFAOYSA-N","0"
"5766-67-6","FDWRKVKXYZRYOD-UHFFFAOYSA-N","0"
"57675-44-2","BTGGRPUPMPLZNT-PGEUSFDPSA-N","0"
"577-11-7","APSBXTVYXVQYAB-UHFFFAOYSA-M","1"
"578-54-1","MLPVBIWIRCKMJV-UHFFFAOYSA-N","0"
"57855-77-3","MKFUUBCXQNCPIP-UHFFFAOYSA-L","0"
"579-66-8","FOYHNROGBXVLLX-UHFFFAOYSA-N","1"
"5810-88-8","DQNJHGSFNUDORY-UHFFFAOYSA-N","0"
"583-78-8","RANCECPPZPIPNO-UHFFFAOYSA-N","1"
"58374-69-9","BQMNFPBUAQPINY-UHFFFAOYSA-N","0"
"586-62-9","MOYAFQVGZZPNRA-UHFFFAOYSA-N","1"
"58823-09-9","CJOFOMGFGJRPFD-UHFFFAOYSA-N","0"
"590-01-2","BTMVHUNTONAYDX-UHFFFAOYSA-N","0"
"592-51-8","CFEYBLWMNFZOPB-UHFFFAOYSA-N","0"
"592-76-7","ZGEGCLOFRBLKSE-UHFFFAOYSA-N","0"
"5989-27-5","XMGQYMWWDOXHJM-JTQLQIEISA-N","1"
"599-64-4","QBDSZLJBMIMQRS-UHFFFAOYSA-N","1"
"60-12-8","WRMNZCZEMHIOCP-UHFFFAOYSA-N","1"
"60-29-7","RTZKZFJDLAIYFH-UHFFFAOYSA-N","1"
"6028-47-3","KGYKKBGZPGVFOS-UHFFFAOYSA-N","0"
"616-45-5","HNJBEVLQSNELDL-UHFFFAOYSA-N","1"
"61617-00-3","GHPJYLIEFFVDGR-UHFFFAOYSA-L","0"
"61788-32-7","TVBYFUMVFJKKNJ-UHFFFAOYSA-N","0"
"61788-44-1","GZGSEMRMKBBQGA-UHFFFAOYSA-N","0"
"61788-45-2","REYJJPSVUYRZGE-UHFFFAOYSA-N","0"
"61788-45-2","REYJJPSVUYRZGE-UHFFFAOYSA-N","0"
"61788-46-3","No result","N/A"
"61788-46-3","No result","N/A"
"61788-62-3","No result","N/A"
"61788-62-3","No result","N/A"
"61788-63-4","No result","N/A"
"61788-63-4","No result","N/A"
"61788-91-8","No result","N/A"
"61788-91-8","No result","N/A"
"61788-93-0","RJSZFSOFYVMDIC-UHFFFAOYSA-N","0"
"61788-93-0","RJSZFSOFYVMDIC-UHFFFAOYSA-N","0"
"61788-95-2","No result","N/A"
"61788-95-2","No result","N/A"
"61789-39-7","PCISSFHSQFJBNX-UHFFFAOYSA-N","0"
"61789-40-0","No result","N/A"
"61789-40-0","No result","N/A"
"61789-51-3","IFSWBZCGMGEHLE-UHFFFAOYSA-L","0"
"61789-52-4","No result","N/A"
"61789-53-5","No result","N/A"
"61789-76-2","No result","N/A"
"61789-79-5","No result","N/A"
"61789-79-5","No result","N/A"
"61790-13-4","KQSJSRIUULBTSE-UHFFFAOYSA-M","0"
"61790-18-9","No result","N/A"
"61790-28-1","No result","N/A"
"61790-29-2","No result","N/A"
"61790-31-6","No result","N/A"
"61790-33-8","No result","N/A"
"61790-33-8","No result","N/A"
"61790-42-9","No result","N/A"
"61790-63-4","No result","N/A"
"61790-69-0","No result","N/A"
"61791-31-9","No result","N/A"
"61791-31-9","No result","N/A"
"61791-39-7","No result","N/A"
"61791-44-4","ZBCBWPMODOFKDW-UHFFFAOYSA-N","1"
"61791-44-4","ZBCBWPMODOFKDW-UHFFFAOYSA-N","1"
"61791-55-7","No result","N/A"
"61791-55-7","No result","N/A"
"62-53-3","PAYRUJLWNCNPSJ-UHFFFAOYSA-N","1"
"62-53-3","PAYRUJLWNCNPSJ-UHFFFAOYSA-N","1"
"622-96-8","JRLPEMVDPFPYPJ-UHFFFAOYSA-N","0"
"622-97-9","JLBJTVDPSNHSKJ-UHFFFAOYSA-N","0"
"624-83-9","HAMGRBXTJNITHG-UHFFFAOYSA-N","0"
"624-92-0","WQOXQRCZOLPYPM-UHFFFAOYSA-N","1"
"62476-59-9","RVULBHWZFCBODE-UHFFFAOYSA-M","0"
"627-83-8","FPVVYTCTZKCSOJ-UHFFFAOYSA-N","1"
"629-59-4","BGHCVCJVXZWKCC-UHFFFAOYSA-N","0"
"629-62-9","YCOZIPAWZNQLMR-UHFFFAOYSA-N","1"
"629-73-2","GQEZCXVZFLOKMC-UHFFFAOYSA-N","1"
"629-73-2","GQEZCXVZFLOKMC-UHFFFAOYSA-N","1"
"629-76-5","REIUXOLGHVXAEO-UHFFFAOYSA-N","1"
"629-79-8","WGXGAUQEMYSVJM-UHFFFAOYSA-N","0"
"629-96-9","BTFJIXJJCSYFAL-UHFFFAOYSA-N","1"
"6294-34-4","XXIDKSWYSYEFAG-UHFFFAOYSA-N","0"
"630-08-0","UGFAIRIUMAVXCW-UHFFFAOYSA-N","1"
"63231-60-7","No result","N/A"
"63393-82-8","HLZKNKRTKFSKGZ-UHFFFAOYSA-N","1"
"63512-64-1","GCYNIFRTYQGRBB-UHFFFAOYSA-N","0"
"63721-05-1","MKLKDUHMZCIBSJ-UHFFFAOYSA-N","0"
"63721-05-1","MKLKDUHMZCIBSJ-UHFFFAOYSA-N","0"
"63734-62-3","ONKRUAQFUNKYAX-UHFFFAOYSA-N","0"
"638-65-3","RHSBIGNQEIPSCT-UHFFFAOYSA-N","0"
"646-06-0","WNXJIVFYUVYPPR-UHFFFAOYSA-N","0"
"6471-78-9","JBAVAJIXZVRJHT-UHFFFAOYSA-N","0"
"64741-41-9","No result","N/A"
"64741-41-9","No result","N/A"
"64741-42-0","No result","N/A"
"64741-43-1","No result","N/A"
"64741-44-2","No result","N/A"
"64741-45-3","No result","N/A"
"64741-45-3","No result","N/A"
"64741-46-4","No result","N/A"
"64741-47-5","No result","N/A"
"64741-48-6","No result","N/A"
"64741-49-7","No result","N/A"
"64741-50-0","No result","N/A"
"64741-51-1","No result","N/A"
"64741-52-2","No result","N/A"
"64741-53-3","No result","N/A"
"64741-54-4","No result","N/A"
"64741-55-5","No result","N/A"
"64741-55-5","No result","N/A"
"64741-55-5","No result","N/A"
"64741-56-6","No result","N/A"
"64741-57-7","No result","N/A"
"64741-57-7","No result","N/A"
"64741-58-8","No result","N/A"
"64741-59-9","No result","N/A"
"64741-60-2","No result","N/A"
"64741-61-3","No result","N/A"
"64741-61-3","No result","N/A"
"64741-62-4","No result","N/A"
"64741-62-4","No result","N/A"
"64741-62-4","No result","N/A"
"64741-63-5","No result","N/A"
"64741-64-6","No result","N/A"
"64741-65-7","No result","N/A"
"64741-66-8","No result","N/A"
"64741-66-8","No result","N/A"
"64741-67-9","No result","N/A"
"64741-67-9","No result","N/A"
"64741-68-0","No result","N/A"
"64741-69-1","No result","N/A"
"64741-70-4","No result","N/A"
"64741-72-6","No result","N/A"
"64741-73-7","No result","N/A"
"64741-73-7","No result","N/A"
"64741-74-8","No result","N/A"
"64741-74-8","No result","N/A"
"64741-74-8","No result","N/A"
"64741-75-9","No result","N/A"
"64741-75-9","No result","N/A"
"64741-76-0","No result","N/A"
"64741-77-1","No result","N/A"
"64741-78-2","No result","N/A"
"64741-79-3","No result","N/A"
"64741-80-6","No result","N/A"
"64741-80-6","No result","N/A"
"64741-81-7","No result","N/A"
"64741-81-7","No result","N/A"
"64741-82-8","No result","N/A"
"64741-83-9","No result","N/A"
"64741-84-0","No result","N/A"
"64741-85-1","No result","N/A"
"64741-85-1","No result","N/A"
"64741-86-2","No result","N/A"
"64741-87-3","No result","N/A"
"64741-87-3","No result","N/A"
"64741-87-3","No result","N/A"
"64741-88-4","No result","N/A"
"64741-89-5","No result","N/A"
"64741-90-8","No result","N/A"
"64741-91-9","No result","N/A"
"64741-92-0","No result","N/A"
"64741-95-3","No result","N/A"
"64741-96-4","No result","N/A"
"64741-97-5","No result","N/A"
"64741-98-6","No result","N/A"
"64741-98-6","No result","N/A"
"64741-98-6","No result","N/A"
"64741-99-7","No result","N/A"
"64741-99-7","No result","N/A"
"64742-01-4","No result","N/A"
"64742-03-6","No result","N/A"
"64742-04-7","No result","N/A"
"64742-05-8","No result","N/A"
"64742-07-0","No result","N/A"
"64742-10-5","No result","N/A"
"64742-11-6","No result","N/A"
"64742-14-9","No result","N/A"
"64742-14-9","No result","N/A"
"64742-16-1","No result","N/A"
"64742-18-3","No result","N/A"
"64742-19-4","No result","N/A"
"64742-22-9","No result","N/A"
"64742-23-0","No result","N/A"
"64742-29-6","No result","N/A"
"64742-30-9","No result","N/A"
"64742-31-0","No result","N/A"
"64742-31-0","No result","N/A"
"64742-34-3","No result","N/A"
"64742-35-4","No result","N/A"
"64742-37-6","No result","N/A"
"64742-38-7","No result","N/A"
"64742-42-3","No result","N/A"
"64742-43-4","No result","N/A"
"64742-44-5","No result","N/A"
"64742-46-7","No result","N/A"
"64742-47-8","No result","N/A"
"64742-47-8","No result","N/A"
"64742-47-8","No result","N/A"
"64742-48-9","No result","N/A"
"64742-48-9","No result","N/A"
"64742-49-0","No result","N/A"
"64742-49-0","No result","N/A"
"64742-49-0","No result","N/A"
"64742-51-4","No result","N/A"
"64742-52-5","No result","N/A"
"64742-53-6","No result","N/A"
"64742-54-7","No result","N/A"
"64742-55-8","No result","N/A"
"64742-56-9","No result","N/A"
"64742-57-0","No result","N/A"
"64742-58-1","No result","N/A"
"64742-59-2","No result","N/A"
"64742-59-2","No result","N/A"
"64742-60-5","No result","N/A"
"64742-61-6","No result","N/A"
"64742-62-7","No result","N/A"
"64742-63-8","No result","N/A"
"64742-65-0","No result","N/A"
"64742-67-2","No result","N/A"
"64742-70-7","No result","N/A"
"64742-71-8","No result","N/A"
"64742-72-9","No result","N/A"
"64742-73-0","No result","N/A"
"64742-73-0","No result","N/A"
"64742-78-5","No result","N/A"
"64742-78-5","No result","N/A"
"64742-79-6","No result","N/A"
"64742-80-9","No result","N/A"
"64742-80-9","No result","N/A"
"64742-80-9","No result","N/A"
"64742-81-0","No result","N/A"
"64742-81-0","No result","N/A"
"64742-82-1","No result","N/A"
"64742-83-2","No result","N/A"
"64742-83-2","No result","N/A"
"64742-83-2","No result","N/A"
"64742-83-2","No result","N/A"
"64742-83-2","No result","N/A"
"64742-85-4","No result","N/A"
"64742-86-5","No result","N/A"
"64742-86-5","No result","N/A"
"64742-87-6","No result","N/A"
"64742-88-7","No result","N/A"
"64742-88-7","No result","N/A"
"64742-89-8","No result","N/A"
"64742-90-1","No result","N/A"
"64742-91-2","No result","N/A"
"64742-93-4","No result","N/A"
"64742-94-5","No result","N/A"
"64742-94-5","No result","N/A"
"64742-95-6","No result","N/A"
"64742-96-7","No result","N/A"
"64742-96-7","No result","N/A"
"64742-98-9","No result","N/A"
"64743-00-6","No result","N/A"
"64743-01-7","No result","N/A"
"64743-05-1","No result","N/A"
"64754-89-8","No result","N/A"
"64754-93-4","No result","N/A"
"64754-95-6","No result","N/A"
"64755-01-7","No result","N/A"
"65086-85-3","WUEPKGQRDGYTSK-UHFFFAOYSA-N","0"
"65086-85-3","WUEPKGQRDGYTSK-UHFFFAOYSA-N","0"
"65143-89-7","DWBRKIMUGXLNBO-UHFFFAOYSA-N","0"
"65817-50-7","NINKGRYZTNGWOE-UHFFFAOYSA-N","0"
"65996-96-5","No result","N/A"
"65996-97-6","No result","N/A"
"65996-98-7","XMGQYMWWDOXHJM-UHFFFAOYSA-N","1"
"65996-99-8","No result","N/A"
"66071-92-9","No result","N/A"
"661-19-8","NOPFSRXAKWQILS-UHFFFAOYSA-N","1"
"66346-01-8","ILQGIJDYSLHIOX-UHFFFAOYSA-N","0"
"66455-17-2","MWKFXSUHUHTGQN-UHFFFAOYSA-N","1"
"6683-19-8","BGYHLZZASRKEJE-UHFFFAOYSA-N","0"
"67-64-1","CSCPPACGZOOCGX-UHFFFAOYSA-N","1"
"67-68-5","IAZDPXIOMUYVGZ-UHFFFAOYSA-N","1"
"67-68-5","IAZDPXIOMUYVGZ-UHFFFAOYSA-N","1"
"67124-09-8","XROXSXGRRMHJFJ-UHFFFAOYSA-N","0"
"67700-99-6","KCMTVIZYKDBFFS-UHFFFAOYSA-N","0"
"67762-25-8","BXWNKGSJHAJOGX-UHFFFAOYSA-N","1"
"67762-27-0","GOQYKNQRPGWPLP-UHFFFAOYSA-N","0"
"67762-30-5","BXWNKGSJHAJOGX-UHFFFAOYSA-N","1"
"67762-41-8","HLZKNKRTKFSKGZ-UHFFFAOYSA-N","1"
"67762-52-1","WZLRYEIJALOESF-UHFFFAOYSA-R","0"
"67762-53-2","KYHBJUCZZYAJIQ-UHFFFAOYSA-N","0"
"67762-55-4","No result","N/A"
"67762-77-0","ANPMHDUGFOMMJJ-UHFFFAOYSA-N","0"
"67762-79-2","CNNCFWUTUQLKNM-UHFFFAOYSA-N","0"
"67774-74-7","XBEADGFTLHRJRB-UHFFFAOYSA-N","0"
"67786-25-8","NTHKAJBKFNFLHL-WPYDVODASA-J","0"
"67891-79-6","No result","N/A"
"67891-79-6","No result","N/A"
"67891-80-9","No result","N/A"
"67891-80-9","No result","N/A"
"67989-23-5","XHDJYQWGFIBCEP-UHFFFAOYSA-N","0"
"67989-23-5","XHDJYQWGFIBCEP-UHFFFAOYSA-N","0"
"67989-24-6","VVEKMBGQZPFARL-UHFFFAOYSA-N","0"
"68002-64-2","WGXGAUQEMYSVJM-UHFFFAOYSA-N","0"
"68002-65-3","ZXPWFWWSCFIFII-UHFFFAOYSA-N","0"
"68002-79-9","No result","N/A"
"68002-94-8","No result","N/A"
"68037-91-2","PLZVEHJLHYMBBY-UHFFFAOYSA-N","0"
"68037-95-6","FJLUATLTXUNBOT-UHFFFAOYSA-N","0"
"68052-49-3","VYSDRTJTSAAZPP-UHFFFAOYSA-L","0"
"68081-77-6","No result","N/A"
"68122-86-1","No result","N/A"
"68122-86-1","No result","N/A"
"68130-51-8","No result","N/A"
"68130-53-0","QLFNMEAVIXLCHS-UHFFFAOYSA-N","0"
"68130-55-2","YCGWUEYSZNACHN-UHFFFAOYSA-N","0"
"68131-05-5","No result","N/A"
"68131-13-5","No result","N/A"
"68131-13-5","No result","N/A"
"68131-75-9","No result","N/A"
"68132-46-7","No result","N/A"
"68132-46-7","No result","N/A"
"68140-00-1","No result","N/A"
"68140-01-2","No result","N/A"
"68153-02-6","MVDGSHXQMOKTDJ-UHFFFAOYSA-N","0"
"68153-95-7","YDFFPEXFCAUTSL-UHFFFAOYSA-N","0"
"68154-36-9","No result","N/A"
"68155-00-0","YICJXYRVTBRLKS-FNORWQNLSA-N","0"
"68155-06-6","VJESJEJNMGVQLZ-UHFFFAOYSA-N","0"
"68155-20-4","No result","N/A"
"68155-38-4","BOJURNNKEFVIKV-MDZDMXLPSA-N","0"
"68187-58-6","No result","N/A"
"68187-58-6","No result","N/A"
"68187-60-0","No result","N/A"
"68227-46-3","HYNJGJWCXRMUIG-UHFFFAOYSA-N","0"
"68227-46-3","HYNJGJWCXRMUIG-UHFFFAOYSA-N","0"
"68307-98-2","No result","N/A"
"68307-99-3","No result","N/A"
"68308-02-1","No result","N/A"
"68308-03-2","No result","N/A"
"68308-04-3","No result","N/A"
"68308-05-4","No result","N/A"
"68308-06-5","No result","N/A"
"68308-08-7","No result","N/A"
"68308-09-8","No result","N/A"
"68308-10-1","No result","N/A"
"68308-11-2","No result","N/A"
"68308-12-3","No result","N/A"
"68308-27-0","No result","N/A"
"68333-22-2","No result","N/A"
"68333-22-2","No result","N/A"
"68333-23-3","No result","N/A"
"68333-23-3","No result","N/A"
"68333-25-5","No result","N/A"
"68333-26-6","No result","N/A"
"68333-26-6","No result","N/A"
"68333-27-7","No result","N/A"
"68333-27-7","No result","N/A"
"68333-29-9","No result","N/A"
"68333-80-2","HLZKNKRTKFSKGZ-UHFFFAOYSA-N","1"
"68333-88-0","GPTJTTCOVDDHER-UHFFFAOYSA-N","0"
"68333-88-0","GPTJTTCOVDDHER-UHFFFAOYSA-N","0"
"68334-13-4","No result","N/A"
"68334-18-9","No result","N/A"
"68334-30-5","No result","N/A"
"68334-30-5","No result","N/A"
"68334-30-5","No result","N/A"
"68334-40-7","No result","N/A"
"68390-96-5","SNMVRZFUUCLYTO-UHFFFAOYSA-N","0"
"68391-11-7","No result","N/A"
"68409-73-4","ZUOUZKKEUPVFJK-UHFFFAOYSA-N","1"
"68409-99-4","No result","N/A"
"68410-00-4","No result","N/A"
"68410-00-4","No result","N/A"
"68410-05-9","No result","N/A"
"68410-63-9","No result","N/A"
"68410-71-9","No result","N/A"
"68410-96-8","No result","N/A"
"68410-97-9","No result","N/A"
"68410-97-9","No result","N/A"
"68410-97-9","No result","N/A"
"68410-97-9","No result","N/A"
"68410-98-0","No result","N/A"
"68411-30-3","HUKUZKXWBQJYTO-UHFFFAOYSA-M","0"
"68411-32-5","NLIZZNXFRGDAMS-UHFFFAOYSA-N","0"
"68411-46-1","NRBLRTXFXBXILY-UHFFFAOYSA-N","0"
"68411-81-4","ZEYUSQVGRCPBPG-UHFFFAOYSA-N","0"
"68411-90-5","BTGRAWJCKBQKAO-UHFFFAOYSA-N","0"
"68412-04-4","HIGQPQRQIQDZMP-DHZHZOJOSA-N","1"
"68412-40-8","PVMNPAUTCMBOMO-UHFFFAOYSA-N","0"
"68424-31-7","No result","N/A"
"68424-34-0","No result","N/A"
"68425-31-0","No result","N/A"
"68425-34-3","No result","N/A"
"68425-47-8","No result","N/A"
"68442-68-2","DMBHHRLKUKUOEG-UHFFFAOYSA-N","1"
"68442-97-7","No result","N/A"
"68457-13-6","YJEUJARPQSLENW-UHFFFAOYSA-M","0"
"68457-74-9","No result","N/A"
"68475-57-0","VNWKTOKETHGBQD-UHFFFAOYSA-N","1"
"68475-58-1","OTMSDBZUPAUEDD-UHFFFAOYSA-N","1"
"68475-59-2","ATUOYWHBWRKTHZ-UHFFFAOYSA-N","1"
"68475-60-5","NNPPMTNAJDCUHE-UHFFFAOYSA-N","1"
"68475-70-7","No result","N/A"
"68475-79-6","No result","N/A"
"68475-80-9","No result","N/A"
"68476-26-6","No result","N/A"
"68476-27-7","No result","N/A"
"68476-28-8","No result","N/A"
"68476-29-9","No result","N/A"
"68476-30-2","No result","N/A"
"68476-30-2","No result","N/A"
"68476-31-3","No result","N/A"
"68476-32-4","No result","N/A"
"68476-32-4","No result","N/A"
"68476-33-5","No result","N/A"
"68476-33-5","No result","N/A"
"68476-34-6","No result","N/A"
"68476-40-4","No result","N/A"
"68476-42-6","IJDNQMDRQITEOD-UHFFFAOYSA-N","1"
"68476-43-7","OFBQJSOFQDEBGM-UHFFFAOYSA-N","1"
"68476-43-7","OFBQJSOFQDEBGM-UHFFFAOYSA-N","1"
"68476-44-8","VLKZOEOYAKHREP-UHFFFAOYSA-N","1"
"68476-44-8","VLKZOEOYAKHREP-UHFFFAOYSA-N","1"
"68476-45-9","No result","N/A"
"68476-45-9","No result","N/A"
"68476-46-0","No result","N/A"
"68476-49-3","No result","N/A"
"68476-50-6","No result","N/A"
"68476-52-8","No result","N/A"
"68476-52-8","No result","N/A"
"68476-53-9","No result","N/A"
"68476-54-0","No result","N/A"
"68476-55-1","OFBQJSOFQDEBGM-UHFFFAOYSA-N","1"
"68476-55-1","OFBQJSOFQDEBGM-UHFFFAOYSA-N","1"
"68476-56-2","RGSFGYAAUTVSQA-UHFFFAOYSA-N","0"
"68476-85-7","No result","N/A"
"68476-86-8","No result","N/A"
"68477-25-8","No result","N/A"
"68477-26-9","No result","N/A"
"68477-31-6","No result","N/A"
"68477-33-8","No result","N/A"
"68477-34-9","No result","N/A"
"68477-35-0","No result","N/A"
"68477-40-7","No result","N/A"
"68477-41-8","No result","N/A"
"68477-42-9","No result","N/A"
"68477-42-9","No result","N/A"
"68477-53-2","No result","N/A"
"68477-54-3","No result","N/A"
"68477-58-7","No result","N/A"
"68477-58-7","No result","N/A"
"68477-63-4","No result","N/A"
"68477-65-6","No result","N/A"
"68477-66-7","No result","N/A"
"68477-67-8","No result","N/A"
"68477-68-9","No result","N/A"
"68477-69-0","No result","N/A"
"68477-70-3","No result","N/A"
"68477-71-4","No result","N/A"
"68477-72-5","No result","N/A"
"68477-73-6","No result","N/A"
"68477-74-7","No result","N/A"
"68477-75-8","No result","N/A"
"68477-76-9","No result","N/A"
"68477-77-0","No result","N/A"
"68477-79-2","No result","N/A"
"68477-80-5","No result","N/A"
"68477-81-6","No result","N/A"
"68477-82-7","No result","N/A"
"68477-83-8","No result","N/A"
"68477-83-8","No result","N/A"
"68477-85-0","No result","N/A"
"68477-86-1","No result","N/A"
"68477-87-2","No result","N/A"
"68477-88-3","No result","N/A"
"68477-89-4","No result","N/A"
"68477-90-7","No result","N/A"
"68477-91-8","No result","N/A"
"68477-92-9","No result","N/A"
"68477-94-1","No result","N/A"
"68477-95-2","No result","N/A"
"68477-97-4","No result","N/A"
"68477-98-5","No result","N/A"
"68478-00-2","No result","N/A"
"68478-01-3","No result","N/A"
"68478-02-4","No result","N/A"
"68478-03-5","No result","N/A"
"68478-04-6","No result","N/A"
"68478-05-7","No result","N/A"
"68478-08-0","No result","N/A"
"68478-10-4","No result","N/A"
"68478-10-4","No result","N/A"
"68478-12-6","No result","N/A"
"68478-13-7","No result","N/A"
"68478-13-7","No result","N/A"
"68478-15-9","No result","N/A"
"68478-16-0","No result","N/A"
"68478-17-1","No result","N/A"
"68478-17-1","No result","N/A"
"68478-19-3","No result","N/A"
"68478-24-0","No result","N/A"
"68478-25-1","No result","N/A"
"68478-26-2","No result","N/A"
"68478-27-3","No result","N/A"
"68478-28-4","No result","N/A"
"68478-29-5","No result","N/A"
"68478-30-8","No result","N/A"
"68478-32-0","No result","N/A"
"68478-33-1","No result","N/A"
"68478-34-2","No result","N/A"
"68479-04-9","OMQFYSDZSLDVLL-UHFFFAOYSA-N","0"
"68479-04-9","OMQFYSDZSLDVLL-UHFFFAOYSA-N","0"
"68511-40-0","JCBFWZDDDTVBFC-UHFFFAOYSA-N","0"
"68511-40-0","JCBFWZDDDTVBFC-UHFFFAOYSA-N","0"
"68511-50-2","No result","N/A"
"68512-62-9","No result","N/A"
"68512-62-9","No result","N/A"
"68512-78-7","No result","N/A"
"68512-91-4","No result","N/A"
"68512-91-4","No result","N/A"
"68513-02-0","No result","N/A"
"68513-02-0","No result","N/A"
"68513-03-1","No result","N/A"
"68513-04-2","No result","N/A"
"68513-11-1","No result","N/A"
"68513-12-2","No result","N/A"
"68513-13-3","No result","N/A"
"68513-14-4","No result","N/A"
"68513-15-5","No result","N/A"
"68513-16-6","No result","N/A"
"68513-17-7","No result","N/A"
"68513-17-7","No result","N/A"
"68513-18-8","No result","N/A"
"68513-19-9","No result","N/A"
"68513-63-3","No result","N/A"
"68513-65-5","NNPPMTNAJDCUHE-UHFFFAOYSA-N","1"
"68513-66-6","No result","N/A"
"68513-68-8","No result","N/A"
"68513-68-8","No result","N/A"
"68513-69-9","No result","N/A"
"68514-15-8","No result","N/A"
"68514-31-8","IJDNQMDRQITEOD-UHFFFAOYSA-N","1"
"68514-32-9","XKWRJEBRBGIQBA-BISOHRNISA-N","0"
"68514-33-0","KUYWKHKXFXRJAP-MRYWSNOQSA-N","0"
"68514-34-1","No result","N/A"
"68514-36-3","No result","N/A"
"68514-38-5","APPOKADJQUIAHP-GGWOSOGESA-N","0"
"68514-39-6","No result","N/A"
"68514-41-0","DCKZDPOUHNXIBI-UHFFFAOYSA-N","0"
"68514-67-0","No result","N/A"
"68514-79-4","No result","N/A"
