"","accession","keggmap"
"200","HMDB0000132","map00230"
"201","HMDB0000133","map00230"
"202","HMDB0000134","map00330"
"203","HMDB0000134","map00250"
"204","HMDB0000134","map00020"
"205","HMDB0000134","map00190"
"206","HMDB0000134","map00360"
"207","HMDB0000134","map00230"
"208","HMDB0000134","map00350"
"209","HMDB0000134","map00330"
"210","HMDB0000138","map00120"
"211","HMDB0000139","map00561"
"212","HMDB0000139","map00260"
"213","HMDB0000142","map00150"
"214","HMDB0000142","map00670"
"215","HMDB0000142","map00790"
"216","HMDB0000142","map00100"
"217","HMDB0000142","map00380"
"218","HMDB0000143","map00052"
"219","HMDB0000143","map00520"
"220","HMDB0000143","map00500"
"221","HMDB0000145","map00150"
"222","HMDB0000145","map00920"
"223","HMDB0000148","map00250"
"224","HMDB0000148","map00520"
"225","HMDB0000148","map00590"
"226","HMDB0000148","map00330"
"227","HMDB0000148","map00250"
"228","HMDB0000148","map00410"
"229","HMDB0000148","map00270"
"230","HMDB0000148","map00250"
"231","HMDB0000148","map00480"
"232","HMDB0000148","map00260"
"233","HMDB0000148","map00340"
"234","HMDB0000148","map00310"
"235","HMDB0000148","map00760"
"236","HMDB0000148","map00910"
"237","HMDB0000148","map00670"
"238","HMDB0000148","map00360"
"239","HMDB0000148","map00640"
"240","HMDB0000148","map00230"
"241","HMDB0000148","map00380"
"242","HMDB0000148","map00350"
"243","HMDB0000148","map00330"
"244","HMDB0000148","map00280"
"245","HMDB0000149","map00564"
"246","HMDB0000151","map00150"
"247","HMDB0000156","map00020"
"248","HMDB0000156","map00010"
"249","HMDB0000156","map00620"
"250","HMDB0000157","map00230"
"251","HMDB0000158","map00360"
"252","HMDB0000158","map00350"
"253","HMDB0000158","map00350"
"254","HMDB0000159","map00360"
"255","HMDB0000161","map00250"
"256","HMDB0000161","map00250"
"257","HMDB0000161","map00480"
"258","HMDB0000161","map00260"
"259","HMDB0000161","map00450"
"260","HMDB0000161","map00380"
"261","HMDB0000161","map00330"
"262","HMDB0000162","map00330"
"263","HMDB0000163","map00500"
"264","HMDB0000164","map00350"
"265","HMDB0000167","map00260"
"266","HMDB0000168","map00250"
"267","HMDB0000168","map00910"
"268","HMDB0000169","map00051"
"269","HMDB0000169","map00052"
"270","HMDB0000172","map00280"
"271","HMDB0000174","map00051"
"272","HMDB0000175","map00250"
"273","HMDB0000175","map00230"
"274","HMDB0000177","map00410"
"275","HMDB0000177","map00340"
"276","HMDB0000177","map00910"
"277","HMDB0000181","map00350"
"278","HMDB0000181","map00350"
"279","HMDB0000182","map00780"
"280","HMDB0000182","map00310"
"281","HMDB0000186","map00052"
"282","HMDB0000187","map00260"
"283","HMDB0000187","map00270"
"284","HMDB0000187","map00910"
"285","HMDB0000187","map00450"
"286","HMDB0000187","map00500"
"287","HMDB0000189","map00230"
"288","HMDB0000190","map00010"
"289","HMDB0000190","map00620"
"290","HMDB0000191","map00330"
"291","HMDB0000191","map00250"
"292","HMDB0000191","map00410"
"293","HMDB0000191","map00250"
"294","HMDB0000191","map00910"
"295","HMDB0000191","map00230"
"296","HMDB0000191","map00350"
"297","HMDB0000191","map00330"
"298","HMDB0000193","map00020"
"299","HMDB0000194","map00410"
"300","HMDB0000194","map00340"
"301","HMDB0000195","map00230"
"302","HMDB0000197","map00380"
"303","HMDB0000201","map01040"
"304","HMDB0000202","map00640"
