"","accession","omimid"
"228","HMDB0000063",201400
"229","HMDB0000063",300200
"230","HMDB0000063",202110
"231","HMDB0000063",613743
"232","HMDB0000063",201750
"233","HMDB0000063",218030
"234","HMDB0000063",613546
"235","HMDB0000063",605911
"236","HMDB0000063",231530
"237","HMDB0000063",241200
"238","HMDB0000063",615962
"239","HMDB0000063",614962
"240","HMDB0000063",201710
"241","HMDB0000063",600955
"242","HMDB0000064",260350
"243","HMDB0000064",114500
"244","HMDB0000064",181500
"245","HMDB0000064",613752
"246","HMDB0000064",612718
"247","HMDB0000064",266600
"248","HMDB0000064",104300
"249","HMDB0000064",600274
"250","HMDB0000064",219700
"251","HMDB0000064",211980
"252","HMDB0000064",610247
"253","HMDB0000064",300352
"254","HMDB0000067",200100
"255","HMDB0000067",602439
"256","HMDB0000067",213700
"257","HMDB0000067",600803
"258","HMDB0000067",114500
"259","HMDB0000067",181500
"260","HMDB0000067",137215
"261","HMDB0000067",238600
"262","HMDB0000067",126200
"263","HMDB0000067",309000
"264","HMDB0000067",176807
"265","HMDB0000067",270400
"266","HMDB0000067",248250
"267","HMDB0000067",278000
"268","HMDB0000067",219750
"269","HMDB0000067",201750
"270","HMDB0000067",605911
"271","HMDB0000067",302960
"272","HMDB0000067",602398
"273","HMDB0000067",246200
"274","HMDB0000067",310200
"275","HMDB0000067",608600
"276","HMDB0000067",143890
"277","HMDB0000067",607330
"278","HMDB0000067",245900
"279","HMDB0000067",614962
"280","HMDB0000067",608594
"281","HMDB0000067",616834
"282","HMDB0000068",240200
"283","HMDB0000068",105800
"284","HMDB0000068",171300
"285","HMDB0000068",181500
"286","HMDB0000070",266510
"287","HMDB0000070",215100
"288","HMDB0000070",266500
"289","HMDB0000070",266100
"290","HMDB0000070",261515
"291","HMDB0000070",264470
"292","HMDB0000070",248310
"293","HMDB0000070",238700
"294","HMDB0000070",114500
"295","HMDB0000070",260350
"296","HMDB0000070",170650
"297","HMDB0000070",214100
"298","HMDB0000070",300100
"299","HMDB0000070",181500
"300","HMDB0000071",114500
"301","HMDB0000071",164050
"302","HMDB0000071",610247
"303","HMDB0000072",104300
"304","HMDB0000072",600274
"305","HMDB0000072",211980
"306","HMDB0000072",610247
"307","HMDB0000072",181500
"308","HMDB0000072",607196
"309","HMDB0000073",223360
"310","HMDB0000073",104300
"311","HMDB0000073",193200
"312","HMDB0000073",608643
"313","HMDB0000073",610247
"314","HMDB0000073",181500
"315","HMDB0000076",114500
"316","HMDB0000076",274270
"317","HMDB0000076",145500
"318","HMDB0000077",201810
"319","HMDB0000077",613546
"320","HMDB0000077",201910
"321","HMDB0000077",201750
"322","HMDB0000077",613743
"323","HMDB0000077",201710
"324","HMDB0000077",180300
"325","HMDB0000078",261600
"326","HMDB0000079",222748
"327","HMDB0000079",613161
"328","HMDB0000079",610247
"329","HMDB0000085",114500
"330","HMDB0000085",164050
"331","HMDB0000086",104300
"332","HMDB0000086",260350
"333","HMDB0000086",170650
"334","HMDB0000087",601313
"335","HMDB0000087",125853
"336","HMDB0000087",222100
"337","HMDB0000087",610247
"338","HMDB0000087",310200
"339","HMDB0000089",271900
"340","HMDB0000089",114500
"341","HMDB0000089",266600
"342","HMDB0000089",104300
"343","HMDB0000089",600274
"344","HMDB0000092",114500
"345","HMDB0000092",266600
"346","HMDB0000092",610247
"347","HMDB0000092",605850
"348","HMDB0000094",260350
"349","HMDB0000094",181500
"350","HMDB0000094",271900
"351","HMDB0000094",203740
"352","HMDB0000094",266600
"353","HMDB0000094",104300
"354","HMDB0000094",600274
"355","HMDB0000094",211980
"356","HMDB0000094",222100
"357","HMDB0000094",207900
"358","HMDB0000094",606054
"359","HMDB0000094",276700
