"","accession","keggmap"
"228","T3D0737","map00920"
"229","T3D0737","map04110"
"230","T3D0737","map03040"
"231","T3D0737","map03030"
"232","T3D0737","map03410"
"233","T3D0737","map03430"
"234","T3D0737","map03450"
"235","T3D0737","map04145"
"236","T3D0737","map04210"
"237","T3D0737","map03020"
"238","T3D0737","map04120"
"239","T3D0738","map00030"
"240","T3D0738","map00052"
"241","T3D0738","map00500"
"242","T3D0738","map03420"
"243","T3D0738","map00040"
"244","T3D0738","map00053"
"245","T3D0738","map04978"
"246","T3D0738","map04144"
"247","T3D0738","map04110"
"248","T3D0738","map04710"
"249","T3D0738","map03018"
"250","T3D0738","map04380"
"251","T3D0738","map04210"
"252","T3D1092","map04911"
"253","T3D1137","map04210"
"254","T3D1166","map00190"
"255","T3D1166","map04110"
"256","T3D1373","map04144"
"257","T3D1373","map04210"
"258","T3D1446","map00920"
"259","T3D1446","map03030"
"260","T3D1446","map04210"
"261","T3D1449","map04911"
"262","T3D1449","map04210"
"263","T3D1508","map04911"
"264","T3D1508","map04110"
"265","T3D1508","map04210"
"266","T3D1522","map04210"
"267","T3D1592","map00920"
"268","T3D1641","map04210"
"269","T3D1665","map04210"
"270","T3D1746","map03420"
"271","T3D1746","map04911"
"272","T3D1746","map00190"
"273","T3D1746","map04144"
"274","T3D1746","map04110"
"275","T3D1746","map05164"
"276","T3D1746","map02010"
"277","T3D1746","map03030"
"278","T3D1746","map03410"
"279","T3D1746","map04210"
"280","T3D1746","map03020"
"281","T3D1819","map00620"
"282","T3D1819","map04110"
"283","T3D1819","map04310"
"284","T3D1819","map03030"
"285","T3D1819","map04210"
"286","T3D1834","map00450"
"287","T3D2462","map00590"
"288","T3D2462","map04110"
"289","T3D2462","map04210"
"290","T3D2463","map04720"
"291","T3D2464","map04720"
"292","T3D2467","map00590"
"293","T3D2467","map04720"
"294","T3D2467","map04724"
"295","T3D2467","map04911"
"296","T3D2467","map04970"
"297","T3D2467","map04976"
"298","T3D2467","map00190"
"299","T3D2467","map04144"
"300","T3D2467","map03440"
"301","T3D2467","map04110"
"302","T3D2467","map03030"
"303","T3D2467","map04721"
"304","T3D2467","map04145"
"305","T3D2467","map04810"
"306","T3D2467","map04210"
"307","T3D2471","map04911"
"308","T3D2471","map04144"
"309","T3D2471","map04110"
"310","T3D2471","map03030"
"311","T3D2471","map04210"
"312","T3D2477","map00030"
"313","T3D2477","map04910"
"314","T3D2477","map04614"
"315","T3D2477","map04911"
"316","T3D2477","map04210"
"317","T3D2507","map00030"
"318","T3D2507","map00590"
"319","T3D2507","map04270"
"320","T3D2507","map04720"
"321","T3D2507","map04911"
"322","T3D2507","map04972"
"323","T3D2507","map04740"
"324","T3D2507","map00190"
"325","T3D2507","map04110"
"326","T3D2507","map04210"
"327","T3D2507","map03020"
"328","T3D2510","map04210"
"329","T3D2512","map00590"
"330","T3D2512","map04720"
"331","T3D2512","map04911"
"332","T3D2512","map04972"
"333","T3D2512","map04144"
"334","T3D2512","map04110"
"335","T3D2512","map04710"
"336","T3D2512","map04730"
"337","T3D2512","map04210"
"338","T3D2527","map04270"
"339","T3D2527","map04144"
"340","T3D2527","map04110"
"341","T3D2537","map04725"
"342","T3D2537","map04720"
"343","T3D2537","map04911"
"344","T3D2537","map04144"
"345","T3D2537","map04110"
"346","T3D2537","map04730"
"347","T3D2537","map04210"
"348","T3D2537","map04360"
"349","T3D2537","map05033"
"350","T3D2538","map04720"
"351","T3D2538","map04911"
"352","T3D2538","map04144"
"353","T3D2538","map03440"
"354","T3D2538","map04210"
"355","T3D2538","map05033"
"356","T3D2563","map00260"
"357","T3D2563","map00910"
"358","T3D2563","map00350"
"359","T3D2563","map00030"
"360","T3D2563","map00270"
"361","T3D2563","map00340"
"362","T3D2563","map00670"
"363","T3D2563","map00020"
"364","T3D2563","map00072"
"365","T3D2587","map00562"
"366","T3D2587","map04911"
"367","T3D2587","map00190"
"368","T3D2587","map04110"
"369","T3D2587","map04210"
"370","T3D2624","map04210"
"371","T3D2645","map00920"
"372","T3D2645","map05164"
"373","T3D2645","map04210"
"374","T3D2672","map04144"
"375","T3D2672","map04210"
"376","T3D2690","map00910"
"377","T3D2690","map00640"
"378","T3D2690","map00280"
"379","T3D2690","map00250"
"380","T3D2690","map00020"
"381","T3D2690","map00620"
"382","T3D2690","map00780"
"384","T3D2690","map00061"
"385","T3D2696","map00730"
"386","T3D2698","map00790"
"387","T3D2698","map00670"
"388","T3D2699","map00830"
"389","T3D2701","map00750"
"390","T3D2702","map00260"
"391","T3D2702","map00910"
"392","T3D2712","map00232"
"393","T3D2742","map00071"
"394","T3D2742","map04210"
"395","T3D2791","map00480"
"396","T3D2791","map04144"
"397","T3D2791","map03440"
"398","T3D2791","map04110"
"399","T3D2791","map02010"
"400","T3D2791","map03030"
"401","T3D2791","map04210"
"402","T3D2791","map04120"
"403","T3D2832","map01040"
"404","T3D2841","map00760"
"405","T3D2884","map00830"
"406","T3D2972","map00380"
"407","T3D3028","map00350"
"409","T3D3028","map00380"
"410","T3D3078","map04210"
"411","T3D3078","map03020"
"412","T3D3084","map04720"
"413","T3D3084","map04911"
"414","T3D3084","map04971"
"415","T3D3084","map04144"
"416","T3D3084","map04110"
"417","T3D3084","map04210"
"418","T3D3095","map04725"
"419","T3D3095","map04911"
"420","T3D3095","map04970"
"421","T3D3095","map04971"
"422","T3D3099","map04970"
"423","T3D3268","map00520"
"424","T3D3268","map00620"
"425","T3D3268","map00061"
"426","T3D3469","map04720"
"427","T3D3469","map04916"
"428","T3D3469","map04144"
"429","T3D3469","map03040"
"430","T3D3469","map04145"
"431","T3D3469","map04210"
"432","T3D3471","map00620"
"433","T3D3587","map04110"
"434","T3D3611","map04144"
"435","T3D3944","map00190"
"436","T3D3944","map04210"
"437","T3D3946","map04110"
"438","T3D3946","map04210"
"439","T3D3947","map00190"
"440","T3D3992","map04144"
"441","T3D3992","map02010"
"442","T3D3992","map04210"
"443","T3D3999","map00071"
"444","T3D3999","map00190"
"445","T3D3999","map04210"
"446","T3D4001","map00071"
"447","T3D4001","map00620"
"448","T3D4001","map04110"
"449","T3D4001","map04210"
"450","T3D4024","map04911"
"451","T3D4056","map00590"
"452","T3D4059","map04210"
"453","T3D4060","map03030"
"454","T3D4061","map00071"
"455","T3D4061","map04270"
"456","T3D4061","map04720"
"457","T3D4061","map04911"
"458","T3D4061","map04972"
"459","T3D4061","map00190"
"460","T3D4061","map04144"
"461","T3D4061","map04110"
"462","T3D4061","map04210"
"463","T3D4064","map04110"
"464","T3D4064","map04210"
"465","T3D4065","map04210"
"466","T3D4066","map04614"
"467","T3D4066","map04725"
"468","T3D4066","map04020"
"469","T3D4066","map04720"
"470","T3D4066","map04911"
"471","T3D4066","map00190"
"472","T3D4066","map04260"
"473","T3D4066","map04710"
"474","T3D4066","map04744"
"475","T3D4066","map04730"
"476","T3D4066","map04210"
"477","T3D4069","map00071"
"478","T3D4069","map00590"
"479","T3D4069","map03420"
"480","T3D4069","map04720"
"481","T3D4069","map04911"
"482","T3D4069","map04916"
"483","T3D4069","map04144"
"484","T3D4069","map04110"
"485","T3D4069","map00565"
"486","T3D4069","map04744"
"487","T3D4069","map03030"
"488","T3D4069","map04210"
"489","T3D4073","map00561"
"490","T3D4073","map04614"
"491","T3D4073","map04720"
"492","T3D4073","map04727"
"493","T3D4073","map04971"
"494","T3D4073","map04710"
"495","T3D4073","map04730"
"496","T3D4073","map04210"
"497","T3D4078","map04110"
"498","T3D4078","map03020"
"499","T3D4081","map04971"
"500","T3D4081","map04110"
"501","T3D4081","map04064"
"502","T3D4081","map04210"
"503","T3D4082","map03420"
"504","T3D4082","map04911"
"505","T3D4082","map04144"
"506","T3D4082","map04110"
"507","T3D4082","map04330"
"508","T3D4082","map03030"
"509","T3D4082","map03410"
"510","T3D4082","map04010"
"511","T3D4082","map04210"
"512","T3D4082","map04360"
"513","T3D4082","map03020"
"514","T3D4083","map04210"
"515","T3D4086","map00562"
"516","T3D4086","map04614"
"517","T3D4086","map04270"
"518","T3D4086","map04720"
"519","T3D4086","map04727"
"520","T3D4086","map04911"
"521","T3D4086","map04971"
"522","T3D4086","map04742"
"523","T3D4086","map00190"
"524","T3D4086","map04260"
"525","T3D4086","map04144"
"526","T3D4086","map04110"
"527","T3D4086","map04710"
"528","T3D4086","map04730"
"529","T3D4086","map04390"
"530","T3D4086","map04210"
"531","T3D4087","map04110"
"532","T3D4087","map04210"
"533","T3D4088","map04210"
"534","T3D4092","map04110"
"535","T3D4113","map00480"
"536","T3D4113","map00590"
"537","T3D4113","map04144"
"538","T3D4113","map04110"
"539","T3D4113","map03030"
"540","T3D4113","map04210"
"541","T3D4124","map04210"
"542","T3D4124","map03020"
"543","T3D4128","map00920"
"544","T3D4128","map04210"
"545","T3D4138","map04210"
"546","T3D4149","map00260"
"547","T3D4149","map00330"
"548","T3D4150","map00230"
"549","T3D4152","map00380"
"550","T3D4154","map00350"
"552","T3D4156","map00260"
"553","T3D4156","map00270"
"554","T3D4156","map00480"
"555","T3D4156","map00430"
"556","T3D4156","map00770"
"558","T3D4157","map00380"
"559","T3D4160","map00380"
"560","T3D4161","map00260"
"561","T3D4161","map00350"
"562","T3D4161","map00270"
"564","T3D4162","map00790"
"565","T3D4165","map00380"
"566","T3D4167","map00270"
"567","T3D4168","map00760"
"568","T3D4169","map00270"
"569","T3D4178","map00760"
"570","T3D4179","map00760"
"571","T3D4194","map04210"
"572","T3D4196","map04210"
"573","T3D4198","map04614"
"574","T3D4198","map04210"
"575","T3D4213","map03420"
"576","T3D4213","map03410"
"577","T3D4224","map04210"
"578","T3D4232","map04210"
"579","T3D4234","map00071"
"580","T3D4234","map04614"
"581","T3D4234","map04970"
"582","T3D4234","map04971"
"583","T3D4234","map00190"
"584","T3D4234","map04144"
"585","T3D4234","map04110"
"586","T3D4234","map04330"
"587","T3D4234","map02010"
"588","T3D4234","map04380"
"589","T3D4234","map04210"
"590","T3D4235","map00590"
"591","T3D4235","map03030"
"592","T3D4237","map00350"
"593","T3D4237","map00360"
"594","T3D4237","map00330"
"595","T3D4237","map00020"
"596","T3D4237","map00250"
"597","T3D4237","map00190"
"598","T3D4240","map00150"
"599","T3D4244","map00140"
"600","T3D4245","map00140"
"601","T3D4248","map00310"
"602","T3D4248","map00780"
"603","T3D4250","map00250"
"604","T3D4253","map00620"
"605","T3D4257","map00310"
"606","T3D4259","map00310"
"607","T3D4270","map00480"
"608","T3D4273","map00260"
"609","T3D4273","map00860"
"610","T3D4274","map00860"
"611","T3D4275","map00230"
"612","T3D4276","map00260"
"613","T3D4276","map00910"
"614","T3D4276","map00270"
"615","T3D4276","map00561"
"616","T3D4276","map00340"
"617","T3D4276","map00520"
"618","T3D4276","map00230"
"619","T3D4276","map00670"
"620","T3D4276","map00020"
"621","T3D4276","map00190"
"622","T3D4276","map00562"
"624","T3D4278","map00230"
"625","T3D4279","map00230"
"626","T3D4281","map00230"
"627","T3D4282","map00150"
"628","T3D4282","map00140"
"629","T3D4283","map00150"
"630","T3D4284","map00140"
"631","T3D4286","map01040"
"632","T3D4287","map00350"
"633","T3D4287","map00360"
"634","T3D4289","map00260"
"635","T3D4289","map00330"
"636","T3D4290","map00260"
"637","T3D4290","map00330"
"638","T3D4292","map00240"
"639","T3D4294","map00330"
"640","T3D4294","map00250"
"641","T3D4295","map00330"
"642","T3D4295","map00250"
