"","accession","categories"
"2560","T3D0675","Industrial/WorkplaceToxin"
"2561","T3D0675","Pollutant"
"2562","T3D0675","AirbornePollutant"
"2563","T3D0675","SyntheticToxin"
"2564","T3D0676","Industrial/WorkplaceToxin"
"2565","T3D0676","Pollutant"
"2566","T3D0676","AirbornePollutant"
"2567","T3D0676","SyntheticToxin"
"2568","T3D0677","Drug"
"2569","T3D0677","Pollutant"
"2570","T3D0677","AirbornePollutant"
"2571","T3D0677","FoodToxin"
"2572","T3D0677","NaturalToxin"
"2573","T3D0678","Industrial/WorkplaceToxin"
"2574","T3D0678","Pollutant"
"2575","T3D0678","AirbornePollutant"
"2576","T3D0678","SyntheticToxin"
"2577","T3D0679","Pollutant"
"2578","T3D0679","AirbornePollutant"
"2579","T3D0679","FoodToxin"
"2580","T3D0679","NaturalToxin"
"2581","T3D0680","Industrial/WorkplaceToxin"
"2582","T3D0680","Pollutant"
"2583","T3D0680","AirbornePollutant"
"2584","T3D0680","SyntheticToxin"
"2585","T3D0681","Industrial/WorkplaceToxin"
"2586","T3D0681","Pollutant"
"2587","T3D0681","AirbornePollutant"
"2588","T3D0681","SyntheticToxin"
"2589","T3D0682","Industrial/WorkplaceToxin"
"2590","T3D0682","Pollutant"
"2591","T3D0682","AirbornePollutant"
"2592","T3D0682","SyntheticToxin"
"2593","T3D0683","Industrial/WorkplaceToxin"
"2594","T3D0683","Pollutant"
"2595","T3D0683","AirbornePollutant"
"2596","T3D0683","SyntheticToxin"
"2597","T3D0684","Industrial/WorkplaceToxin"
"2598","T3D0684","Pollutant"
"2599","T3D0684","AirbornePollutant"
"2600","T3D0684","SyntheticToxin"
"2601","T3D0685","Industrial/WorkplaceToxin"
"2602","T3D0685","Pollutant"
"2603","T3D0685","AirbornePollutant"
"2604","T3D0685","SyntheticToxin"
"2605","T3D0686","Industrial/WorkplaceToxin"
"2606","T3D0686","Pollutant"
"2607","T3D0686","AirbornePollutant"
"2608","T3D0686","SyntheticToxin"
"2609","T3D0687","Industrial/WorkplaceToxin"
"2610","T3D0687","Pollutant"
"2611","T3D0687","AirbornePollutant"
"2612","T3D0687","SyntheticToxin"
"2613","T3D0688","Industrial/WorkplaceToxin"
"2614","T3D0688","Pollutant"
"2615","T3D0688","AirbornePollutant"
"2616","T3D0688","SyntheticToxin"
"2617","T3D0689","Industrial/WorkplaceToxin"
"2618","T3D0689","Pollutant"
"2619","T3D0689","AirbornePollutant"
"2620","T3D0689","SyntheticToxin"
"2621","T3D0690","Industrial/WorkplaceToxin"
"2622","T3D0690","Pollutant"
"2623","T3D0690","AirbornePollutant"
"2624","T3D0690","SyntheticToxin"
"2625","T3D0691","Industrial/WorkplaceToxin"
"2626","T3D0691","Pollutant"
"2627","T3D0691","AirbornePollutant"
"2628","T3D0691","SyntheticToxin"
"2629","T3D0692","Industrial/WorkplaceToxin"
"2630","T3D0692","Pollutant"
"2631","T3D0692","AirbornePollutant"
"2632","T3D0692","SyntheticToxin"
"2633","T3D0693","Industrial/WorkplaceToxin"
"2634","T3D0693","Pollutant"
"2635","T3D0693","AirbornePollutant"
"2636","T3D0693","NaturalToxin"
"2637","T3D0694","Industrial/WorkplaceToxin"
"2638","T3D0694","Pollutant"
"2639","T3D0694","AirbornePollutant"
"2640","T3D0694","SyntheticToxin"
"2641","T3D0695","Industrial/WorkplaceToxin"
"2642","T3D0695","Pollutant"
"2643","T3D0695","AirbornePollutant"
"2644","T3D0695","SyntheticToxin"
"2645","T3D0696","Industrial/WorkplaceToxin"
"2646","T3D0696","Pollutant"
"2647","T3D0696","AirbornePollutant"
"2648","T3D0696","NaturalToxin"
"2649","T3D0697","Industrial/WorkplaceToxin"
"2650","T3D0697","Pollutant"
"2651","T3D0697","AirbornePollutant"
"2652","T3D0697","SyntheticToxin"
"2653","T3D0698","Industrial/WorkplaceToxin"
"2654","T3D0698","Pollutant"
"2655","T3D0698","AirbornePollutant"
"2656","T3D0698","SyntheticToxin"
"2657","T3D0699","Industrial/WorkplaceToxin"
"2658","T3D0699","Pollutant"
"2659","T3D0699","AirbornePollutant"
"2660","T3D0699","SyntheticToxin"
"2661","T3D0700","Industrial/WorkplaceToxin"
"2662","T3D0700","Pollutant"
"2663","T3D0700","AirbornePollutant"
"2664","T3D0700","SyntheticToxin"
"2665","T3D0701","Industrial/WorkplaceToxin"
"2666","T3D0701","Pollutant"
"2667","T3D0701","AirbornePollutant"
"2668","T3D0701","SyntheticToxin"
"2669","T3D0702","Industrial/WorkplaceToxin"
"2670","T3D0702","Pollutant"
"2671","T3D0702","AirbornePollutant"
"2672","T3D0702","SyntheticToxin"
"2673","T3D0703","Industrial/WorkplaceToxin"
"2674","T3D0703","Pollutant"
"2675","T3D0703","AirbornePollutant"
"2676","T3D0703","SyntheticToxin"
"2677","T3D0704","Industrial/WorkplaceToxin"
"2678","T3D0704","Pollutant"
"2679","T3D0704","AirbornePollutant"
"2680","T3D0704","SyntheticToxin"
"2681","T3D0705","Industrial/WorkplaceToxin"
"2682","T3D0705","Pollutant"
"2683","T3D0705","AirbornePollutant"
"2684","T3D0705","SyntheticToxin"
"2685","T3D0706","HouseholdToxin"
"2686","T3D0706","Industrial/WorkplaceToxin"
"2687","T3D0706","Pollutant"
"2688","T3D0706","AirbornePollutant"
"2689","T3D0706","SyntheticToxin"
"2690","T3D0707","Industrial/WorkplaceToxin"
"2691","T3D0707","Pollutant"
"2692","T3D0707","AirbornePollutant"
"2693","T3D0707","SyntheticToxin"
"2694","T3D0708","Industrial/WorkplaceToxin"
"2695","T3D0708","Pollutant"
"2696","T3D0708","AirbornePollutant"
"2697","T3D0708","SyntheticToxin"
"2698","T3D0709","Industrial/WorkplaceToxin"
"2699","T3D0709","Pollutant"
"2700","T3D0709","AirbornePollutant"
"2701","T3D0709","SyntheticToxin"
"2702","T3D0710","Industrial/WorkplaceToxin"
"2703","T3D0710","Pollutant"
"2704","T3D0710","AirbornePollutant"
"2705","T3D0710","SyntheticToxin"
"2706","T3D0711","Industrial/WorkplaceToxin"
"2707","T3D0711","Pollutant"
"2708","T3D0711","AirbornePollutant"
"2709","T3D0711","SyntheticToxin"
"2710","T3D0712","Industrial/WorkplaceToxin"
"2711","T3D0712","Pollutant"
"2712","T3D0712","AirbornePollutant"
"2713","T3D0712","SyntheticToxin"
"2714","T3D0713","Industrial/WorkplaceToxin"
"2715","T3D0713","Pollutant"
"2716","T3D0713","AirbornePollutant"
"2717","T3D0713","SyntheticToxin"
"2718","T3D0714","Industrial/WorkplaceToxin"
"2719","T3D0714","Pollutant"
"2720","T3D0714","AirbornePollutant"
"2721","T3D0714","SyntheticToxin"
"2722","T3D0715","Industrial/WorkplaceToxin"
"2723","T3D0715","Pollutant"
"2724","T3D0715","AirbornePollutant"
"2725","T3D0715","SyntheticToxin"
"2726","T3D0716","Industrial/WorkplaceToxin"
"2727","T3D0716","Pollutant"
"2728","T3D0716","AirbornePollutant"
"2729","T3D0716","SyntheticToxin"
"2730","T3D0717","Industrial/WorkplaceToxin"
"2731","T3D0717","Pollutant"
"2732","T3D0717","AirbornePollutant"
"2733","T3D0717","SyntheticToxin"
"2734","T3D0718","Industrial/WorkplaceToxin"
"2735","T3D0718","Pollutant"
"2736","T3D0718","AirbornePollutant"
"2737","T3D0718","SyntheticToxin"
"2738","T3D0719","Industrial/WorkplaceToxin"
"2739","T3D0719","Pollutant"
"2740","T3D0719","AirbornePollutant"
"2741","T3D0719","SyntheticToxin"
"2742","T3D0720","HouseholdToxin"
"2743","T3D0720","Industrial/WorkplaceToxin"
"2744","T3D0720","FoodToxin"
"2745","T3D0720","SyntheticToxin"
"2746","T3D0721","Industrial/WorkplaceToxin"
"2747","T3D0721","Pollutant"
"2748","T3D0721","AirbornePollutant"
"2749","T3D0721","SyntheticToxin"
"2750","T3D0722","Industrial/WorkplaceToxin"
"2751","T3D0722","Pollutant"
"2752","T3D0722","AirbornePollutant"
"2753","T3D0722","SyntheticToxin"
"2754","T3D0723","Industrial/WorkplaceToxin"
"2755","T3D0723","SyntheticToxin"
"2756","T3D0724","Industrial/WorkplaceToxin"
"2757","T3D0724","SyntheticToxin"
"2758","T3D0725","HouseholdToxin"
"2759","T3D0725","Industrial/WorkplaceToxin"
"2760","T3D0725","FoodToxin"
"2761","T3D0725","SyntheticToxin"
"2762","T3D0726","HouseholdToxin"
"2763","T3D0726","Industrial/WorkplaceToxin"
"2764","T3D0726","FoodToxin"
"2765","T3D0726","SyntheticToxin"
"2766","T3D0727","Industrial/WorkplaceToxin"
"2767","T3D0727","Pollutant"
"2768","T3D0727","AirbornePollutant"
"2769","T3D0727","SyntheticToxin"
"2770","T3D0728","Industrial/WorkplaceToxin"
"2771","T3D0728","SyntheticToxin"
"2772","T3D0729","HouseholdToxin"
"2773","T3D0729","FoodToxin"
"2774","T3D0729","SyntheticToxin"
"2775","T3D0730","Industrial/WorkplaceToxin"
"2776","T3D0730","SyntheticToxin"
"2777","T3D0731","Industrial/WorkplaceToxin"
"2778","T3D0731","SyntheticToxin"
"2779","T3D0732","Industrial/WorkplaceToxin"
"2780","T3D0732","FoodToxin"
"2781","T3D0732","SyntheticToxin"
"2782","T3D0733","Industrial/WorkplaceToxin"
"2783","T3D0733","SyntheticToxin"
"2784","T3D0734","Industrial/WorkplaceToxin"
"2785","T3D0734","SyntheticToxin"
"2786","T3D0735","Industrial/WorkplaceToxin"
"2787","T3D0735","SyntheticToxin"
"2788","T3D0736","HouseholdToxin"
"2789","T3D0736","FoodToxin"
"2790","T3D0736","SyntheticToxin"
"2791","T3D0737","Industrial/WorkplaceToxin"
"2792","T3D0737","SyntheticToxin"
"2793","T3D0738","HouseholdToxin"
"2794","T3D0738","Industrial/WorkplaceToxin"
"2795","T3D0738","NaturalToxin"
"2796","T3D0739","Pesticide"
"2797","T3D0739","HouseholdToxin"
"2798","T3D0739","SyntheticToxin"
"2799","T3D0740","HouseholdToxin"
"2800","T3D0740","Industrial/WorkplaceToxin"
"2801","T3D0740","SyntheticToxin"
"2802","T3D0741","Industrial/WorkplaceToxin"
"2803","T3D0741","SyntheticToxin"
"2804","T3D0742","Industrial/WorkplaceToxin"
"2805","T3D0742","Pollutant"
"2806","T3D0742","AirbornePollutant"
"2807","T3D0742","SyntheticToxin"
"2808","T3D0743","HouseholdToxin"
"2809","T3D0743","Industrial/WorkplaceToxin"
"2810","T3D0743","FoodToxin"
"2811","T3D0743","SyntheticToxin"
"2812","T3D0744","HouseholdToxin"
"2813","T3D0744","Industrial/WorkplaceToxin"
"2814","T3D0744","FoodToxin"
"2815","T3D0744","NaturalToxin"
"2816","T3D0745","HouseholdToxin"
"2817","T3D0745","Industrial/WorkplaceToxin"
"2818","T3D0745","NaturalToxin"
"2819","T3D0746","Industrial/WorkplaceToxin"
"2820","T3D0746","SyntheticToxin"
"2821","T3D0747","Industrial/WorkplaceToxin"
"2822","T3D0747","SyntheticToxin"
"2823","T3D0748","Industrial/WorkplaceToxin"
"2824","T3D0748","SyntheticToxin"
"2825","T3D0749","Industrial/WorkplaceToxin"
"2826","T3D0749","SyntheticToxin"
"2827","T3D0753","Pesticide"
"2828","T3D0753","Pollutant"
"2829","T3D0753","AirbornePollutant"
"2830","T3D0753","SyntheticToxin"
"2831","T3D0754","Industrial/WorkplaceToxin"
"2832","T3D0754","SyntheticToxin"
"2833","T3D0755","Industrial/WorkplaceToxin"
"2834","T3D0755","SyntheticToxin"
"2835","T3D0756","Industrial/WorkplaceToxin"
"2836","T3D0756","SyntheticToxin"
"2837","T3D0758","Industrial/WorkplaceToxin"
"2838","T3D0758","SyntheticToxin"
"2839","T3D0759","Industrial/WorkplaceToxin"
"2840","T3D0759","Pollutant"
"2841","T3D0759","AirbornePollutant"
"2842","T3D0759","SyntheticToxin"
"2843","T3D0760","HouseholdToxin"
"2844","T3D0760","Industrial/WorkplaceToxin"
"2845","T3D0760","Pollutant"
"2846","T3D0760","AirbornePollutant"
"2847","T3D0760","SyntheticToxin"
"2848","T3D0761","Industrial/WorkplaceToxin"
"2849","T3D0761","Pollutant"
"2850","T3D0761","AirbornePollutant"
"2851","T3D0761","SyntheticToxin"
"2852","T3D0762","Industrial/WorkplaceToxin"
"2853","T3D0762","Pollutant"
"2854","T3D0762","AirbornePollutant"
"2855","T3D0762","SyntheticToxin"
"2856","T3D0763","Industrial/WorkplaceToxin"
"2857","T3D0763","Pollutant"
"2858","T3D0763","AirbornePollutant"
"2859","T3D0763","FoodToxin"
"2860","T3D0763","SyntheticToxin"
"2861","T3D0764","Pesticide"
"2862","T3D0764","Pollutant"
"2863","T3D0764","AirbornePollutant"
"2864","T3D0764","SyntheticToxin"
"2865","T3D0765","Industrial/WorkplaceToxin"
"2866","T3D0765","Pollutant"
"2867","T3D0765","AirbornePollutant"
"2868","T3D0765","SyntheticToxin"
"2869","T3D0766","Industrial/WorkplaceToxin"
"2870","T3D0766","Pollutant"
"2871","T3D0766","AirbornePollutant"
"2872","T3D0766","SyntheticToxin"
"2873","T3D0767","Industrial/WorkplaceToxin"
"2874","T3D0767","Pollutant"
"2875","T3D0767","AirbornePollutant"
"2876","T3D0767","FoodToxin"
"2877","T3D0767","SyntheticToxin"
"2878","T3D0768","Drug"
"2879","T3D0768","SyntheticToxin"
"2880","T3D0769","Industrial/WorkplaceToxin"
"2881","T3D0769","Pollutant"
"2882","T3D0769","AirbornePollutant"
"2883","T3D0769","SyntheticToxin"
"2884","T3D0770","Drug"
"2885","T3D0770","HouseholdToxin"
"2886","T3D0770","Industrial/WorkplaceToxin"
"2887","T3D0770","FoodToxin"
"2888","T3D0770","NaturalToxin"
"2889","T3D0771","HouseholdToxin"
"2890","T3D0771","Industrial/WorkplaceToxin"
"2891","T3D0771","Pollutant"
"2892","T3D0771","AirbornePollutant"
"2893","T3D0771","FoodToxin"
"2894","T3D0771","NaturalToxin"
"2895","T3D0772","HouseholdToxin"
"2896","T3D0772","Industrial/WorkplaceToxin"
"2897","T3D0772","Pollutant"
"2898","T3D0772","AirbornePollutant"
"2899","T3D0772","SyntheticToxin"
"2900","T3D0776","Pesticide"
"2901","T3D0776","Pollutant"
"2902","T3D0776","AirbornePollutant"
"2903","T3D0776","SyntheticToxin"
"2904","T3D0777","Industrial/WorkplaceToxin"
"2905","T3D0777","SyntheticToxin"
"2906","T3D0778","HouseholdToxin"
"2907","T3D0778","Industrial/WorkplaceToxin"
"2908","T3D0778","Pollutant"
"2909","T3D0778","AirbornePollutant"
"2910","T3D0778","SyntheticToxin"
"2911","T3D0778","FoodToxin"
"2912","T3D0780","Industrial/WorkplaceToxin"
"2913","T3D0780","Pollutant"
"2914","T3D0780","AirbornePollutant"
"2915","T3D0780","FoodToxin"
"2916","T3D0780","SyntheticToxin"
"2917","T3D0781","Industrial/WorkplaceToxin"
"2918","T3D0781","Pollutant"
"2919","T3D0781","AirbornePollutant"
"2920","T3D0781","SyntheticToxin"
"2921","T3D0782","Industrial/WorkplaceToxin"
"2922","T3D0782","SyntheticToxin"
"2923","T3D0784","Pesticide"
"2924","T3D0784","Industrial/WorkplaceToxin"
"2925","T3D0784","SyntheticToxin"
"2926","T3D0786","Industrial/WorkplaceToxin"
"2927","T3D0786","Pollutant"
"2928","T3D0786","AirbornePollutant"
"2929","T3D0786","SyntheticToxin"
"2930","T3D0791","Industrial/WorkplaceToxin"
"2931","T3D0791","Pollutant"
"2932","T3D0791","AirbornePollutant"
"2933","T3D0791","NaturalToxin"
"2934","T3D0792","HouseholdToxin"
"2935","T3D0792","Industrial/WorkplaceToxin"
"2936","T3D0792","Pollutant"
"2937","T3D0792","AirbornePollutant"
"2938","T3D0792","NaturalToxin"
"2939","T3D0793","Industrial/WorkplaceToxin"
"2940","T3D0793","Pollutant"
"2941","T3D0793","AirbornePollutant"
"2942","T3D0793","NaturalToxin"
"2943","T3D0794","Industrial/WorkplaceToxin"
"2944","T3D0794","Pollutant"
"2945","T3D0794","AirbornePollutant"
"2946","T3D0794","NaturalToxin"
"2947","T3D0795","HouseholdToxin"
"2948","T3D0795","Industrial/WorkplaceToxin"
"2949","T3D0795","Pollutant"
"2950","T3D0795","AirbornePollutant"
"2951","T3D0795","NaturalToxin"
"2952","T3D0796","Pesticide"
"2953","T3D0796","HouseholdToxin"
"2954","T3D0796","FoodToxin"
"2955","T3D0796","NaturalToxin"
"2956","T3D0797","Pesticide"
"2957","T3D0797","HouseholdToxin"
"2958","T3D0797","FoodToxin"
"2959","T3D0797","SyntheticToxin"
"2960","T3D0798","Pesticide"
"2961","T3D0798","HouseholdToxin"
"2962","T3D0798","SyntheticToxin"
"2963","T3D0799","Drug"
"2964","T3D0799","Pesticide"
"2965","T3D0799","HouseholdToxin"
"2966","T3D0799","FoodToxin"
"2967","T3D0799","NaturalToxin"
"2968","T3D0800","Pesticide"
"2969","T3D0800","HouseholdToxin"
"2970","T3D0800","FoodToxin"
"2971","T3D0800","SyntheticToxin"
"2972","T3D0801","Pesticide"
"2973","T3D0801","Industrial/WorkplaceToxin"
"2974","T3D0801","SyntheticToxin"
"2975","T3D0802","Pesticide"
"2976","T3D0802","SyntheticToxin"
"2977","T3D0803","Pesticide"
"2978","T3D0803","Industrial/WorkplaceToxin"
"2979","T3D0803","SyntheticToxin"
"2980","T3D0804","Pesticide"
"2981","T3D0804","Industrial/WorkplaceToxin"
"2982","T3D0804","SyntheticToxin"
"2983","T3D0805","Pesticide"
"2984","T3D0805","Industrial/WorkplaceToxin"
"2985","T3D0805","SyntheticToxin"
"2986","T3D0806","Pesticide"
"2987","T3D0806","HouseholdToxin"
"2988","T3D0806","Industrial/WorkplaceToxin"
"2989","T3D0806","SyntheticToxin"
"2990","T3D0807","Pesticide"
"2991","T3D0807","HouseholdToxin"
"2992","T3D0807","Industrial/WorkplaceToxin"
"2993","T3D0807","SyntheticToxin"
"2994","T3D0808","Pesticide"
"2995","T3D0808","FoodToxin"
"2996","T3D0808","SyntheticToxin"
"2997","T3D0810","Pesticide"
"2998","T3D0810","HouseholdToxin"
"2999","T3D0810","FoodToxin"
"3000","T3D0810","SyntheticToxin"
"3001","T3D0811","Pesticide"
"3002","T3D0811","HouseholdToxin"
"3003","T3D0811","SyntheticToxin"
"3004","T3D0812","Pesticide"
"3005","T3D0812","SyntheticToxin"
"3006","T3D0813","PlantToxin"
"3007","T3D0813","FoodToxin"
"3008","T3D0813","NaturalToxin"
"3009","T3D0815","PlantToxin"
"3010","T3D0815","FoodToxin"
"3011","T3D0815","NaturalToxin"
"3012","T3D0816","PlantToxin"
"3013","T3D0816","FoodToxin"
"3014","T3D0816","NaturalToxin"
"3015","T3D0819","PlantToxin"
"3016","T3D0819","FoodToxin"
"3017","T3D0819","NaturalToxin"
"3018","T3D0821","PlantToxin"
"3019","T3D0821","FoodToxin"
"3020","T3D0821","NaturalToxin"
"3021","T3D0822","PlantToxin"
"3022","T3D0822","FoodToxin"
"3023","T3D0822","NaturalToxin"
"3024","T3D0825","Industrial/WorkplaceToxin"
"3025","T3D0825","PlantToxin"
"3026","T3D0825","FoodToxin"
"3027","T3D0825","NaturalToxin"
"3028","T3D0831","PlantToxin"
"3029","T3D0831","FoodToxin"
"3030","T3D0831","NaturalToxin"
"3031","T3D0834","PlantToxin"
"3032","T3D0834","FoodToxin"
"3033","T3D0834","NaturalToxin"
"3034","T3D0836","Drug"
"3035","T3D0836","PlantToxin"
"3036","T3D0836","FoodToxin"
"3037","T3D0836","NaturalToxin"
"3038","T3D0838","PlantToxin"
"3039","T3D0838","FoodToxin"
"3040","T3D0838","NaturalToxin"
"3041","T3D0842","PlantToxin"
"3042","T3D0842","FoodToxin"
"3043","T3D0842","NaturalToxin"
"3044","T3D0843","PlantToxin"
"3045","T3D0843","FoodToxin"
"3046","T3D0843","NaturalToxin"
"3047","T3D0845","PlantToxin"
"3048","T3D0845","FoodToxin"
"3049","T3D0845","NaturalToxin"
"3050","T3D0846","PlantToxin"
"3051","T3D0846","FoodToxin"
"3052","T3D0846","NaturalToxin"
"3053","T3D0855","Pesticide"
"3054","T3D0855","Pollutant"
"3055","T3D0855","SyntheticToxin"
"3056","T3D0856","HouseholdToxin"
"3057","T3D0856","Industrial/WorkplaceToxin"
"3058","T3D0856","PlantToxin"
"3059","T3D0856","FoodToxin"
"3060","T3D0856","NaturalToxin"
"3061","T3D0859","PlantToxin"
"3062","T3D0859","FoodToxin"
"3063","T3D0859","NaturalToxin"
"3064","T3D0860","FoodToxin"
"3065","T3D0860","NaturalToxin"
"3066","T3D0860","PlantToxin"
"3067","T3D0864","HouseholdToxin"
"3068","T3D0864","Industrial/WorkplaceToxin"
"3069","T3D0864","Pollutant"
"3070","T3D0864","AirbornePollutant"
"3071","T3D0864","FoodToxin"
"3072","T3D0864","NaturalToxin"
"3073","T3D0868","HouseholdToxin"
"3074","T3D0868","SyntheticToxin"
"3075","T3D0870","FoodToxin"
"3076","T3D0870","SyntheticToxin"
"3077","T3D0871","Pollutant"
"3078","T3D0871","AirbornePollutant"
"3079","T3D0871","FoodToxin"
"3080","T3D0871","SyntheticToxin"
"3081","T3D0872","Pollutant"
"3082","T3D0872","AirbornePollutant"
"3083","T3D0872","FoodToxin"
"3084","T3D0872","SyntheticToxin"
"3085","T3D0873","Pollutant"
"3086","T3D0873","AirbornePollutant"
"3087","T3D0873","FoodToxin"
"3088","T3D0873","SyntheticToxin"
"3089","T3D0874","Pollutant"
"3090","T3D0874","AirbornePollutant"
"3091","T3D0874","FoodToxin"
"3092","T3D0874","SyntheticToxin"
"3093","T3D0875","HouseholdToxin"
"3094","T3D0875","Pollutant"
"3095","T3D0875","AirbornePollutant"
"3096","T3D0875","FoodToxin"
"3097","T3D0875","SyntheticToxin"
"3098","T3D0876","Industrial/WorkplaceToxin"
"3099","T3D0876","Pollutant"
"3100","T3D0876","AirbornePollutant"
"3101","T3D0876","FoodToxin"
"3102","T3D0876","SyntheticToxin"
"3103","T3D0877","Pollutant"
"3104","T3D0877","AirbornePollutant"
"3105","T3D0877","FoodToxin"
"3106","T3D0877","SyntheticToxin"
"3107","T3D0878","Pollutant"
"3108","T3D0878","AirbornePollutant"
"3109","T3D0878","FoodToxin"
"3110","T3D0878","SyntheticToxin"
"3111","T3D0890","Pesticide"
"3112","T3D0890","HouseholdToxin"
"3113","T3D0890","SyntheticToxin"
"3114","T3D0893","Pesticide"
"3115","T3D0893","SyntheticToxin"
"3116","T3D0894","Pesticide"
"3117","T3D0894","SyntheticToxin"
"3118","T3D0895","Pesticide"
"3119","T3D0895","SyntheticToxin"
"3120","T3D0896","Pesticide"
"3121","T3D0896","SyntheticToxin"
"3122","T3D0897","Pesticide"
"3123","T3D0897","SyntheticToxin"
"3124","T3D0898","CigaretteToxin"
"3125","T3D0898","Pesticide"
"3126","T3D0898","SyntheticToxin"
"3127","T3D0900","Pesticide"
"3128","T3D0900","SyntheticToxin"
"3129","T3D0901","Pesticide"
"3130","T3D0901","SyntheticToxin"
"3131","T3D0902","Pesticide"
"3132","T3D0902","FoodToxin"
"3133","T3D0902","SyntheticToxin"
"3134","T3D0903","Pesticide"
"3135","T3D0903","FoodToxin"
"3136","T3D0903","NaturalToxin"
"3137","T3D0903","AnimalToxin"
"3138","T3D0904","Pesticide"
"3139","T3D0904","HouseholdToxin"
"3140","T3D0904","SyntheticToxin"
"3141","T3D0905","Pesticide"
"3142","T3D0905","FoodToxin"
"3143","T3D0905","NaturalToxin"
"3144","T3D0905","AnimalToxin"
"3145","T3D0906","Pesticide"
"3146","T3D0906","SyntheticToxin"
"3147","T3D0907","Pesticide"
"3148","T3D0907","SyntheticToxin"
"3149","T3D0908","Pesticide"
"3150","T3D0908","SyntheticToxin"
"3151","T3D0909","Pesticide"
"3152","T3D0909","SyntheticToxin"
"3153","T3D0910","Pesticide"
"3154","T3D0910","SyntheticToxin"
"3155","T3D0911","Pesticide"
"3156","T3D0911","SyntheticToxin"
"3157","T3D0912","Pesticide"
"3158","T3D0912","SyntheticToxin"
"3159","T3D0913","Pesticide"
"3160","T3D0913","SyntheticToxin"
"3161","T3D0914","Pesticide"
"3162","T3D0914","SyntheticToxin"
"3163","T3D0915","Pesticide"
"3164","T3D0915","SyntheticToxin"
"3165","T3D0916","Pesticide"
"3166","T3D0916","SyntheticToxin"
"3167","T3D0918","Pesticide"
"3168","T3D0918","SyntheticToxin"
"3169","T3D0919","Pesticide"
"3170","T3D0919","Industrial/WorkplaceToxin"
"3171","T3D0919","SyntheticToxin"
"3172","T3D0920","Pesticide"
"3173","T3D0920","SyntheticToxin"
"3174","T3D0921","Pesticide"
"3175","T3D0921","SyntheticToxin"
"3176","T3D0922","Pesticide"
"3177","T3D0922","SyntheticToxin"
"3178","T3D0923","Pesticide"
"3179","T3D0923","SyntheticToxin"
"3180","T3D0924","Pesticide"
"3181","T3D0924","SyntheticToxin"
"3182","T3D0925","Pesticide"
"3183","T3D0925","SyntheticToxin"
"3184","T3D0926","Pesticide"
"3185","T3D0926","Industrial/WorkplaceToxin"
"3186","T3D0926","FoodToxin"
"3187","T3D0926","SyntheticToxin"
"3188","T3D0927","Pesticide"
"3189","T3D0927","SyntheticToxin"
"3190","T3D0928","Pesticide"
"3191","T3D0928","FoodToxin"
"3192","T3D0928","SyntheticToxin"
"3193","T3D0929","Pesticide"
"3194","T3D0929","SyntheticToxin"
"3195","T3D0930","Pesticide"
"3196","T3D0930","SyntheticToxin"
"3197","T3D0932","Pesticide"
"3198","T3D0932","SyntheticToxin"
"3199","T3D0934","Pesticide"
"3200","T3D0934","SyntheticToxin"
"3201","T3D0935","Pesticide"
"3202","T3D0935","SyntheticToxin"
"3203","T3D0936","Pesticide"
"3204","T3D0936","SyntheticToxin"
"3205","T3D0937","Pesticide"
"3206","T3D0937","SyntheticToxin"
"3207","T3D0938","Pesticide"
"3208","T3D0938","SyntheticToxin"
"3209","T3D0939","Pesticide"
"3210","T3D0939","SyntheticToxin"
"3211","T3D0940","Pesticide"
"3212","T3D0940","HouseholdToxin"
"3213","T3D0940","Pollutant"
"3214","T3D0940","AirbornePollutant"
"3215","T3D0940","SyntheticToxin"
"3216","T3D0941","Pesticide"
"3217","T3D0941","SyntheticToxin"
"3218","T3D0942","Pesticide"
"3219","T3D0942","FoodToxin"
"3220","T3D0942","SyntheticToxin"
"3221","T3D0943","Pesticide"
"3222","T3D0943","SyntheticToxin"
"3223","T3D0944","Pesticide"
"3224","T3D0944","FoodToxin"
"3225","T3D0944","SyntheticToxin"
"3226","T3D0945","Pesticide"
"3227","T3D0945","SyntheticToxin"
"3228","T3D0946","Pesticide"
"3229","T3D0946","SyntheticToxin"
"3230","T3D0947","Pesticide"
"3231","T3D0947","SyntheticToxin"
"3232","T3D0948","Pesticide"
"3233","T3D0948","SyntheticToxin"
"3234","T3D0949","Pesticide"
"3235","T3D0949","SyntheticToxin"
"3236","T3D0950","Pesticide"
"3237","T3D0950","SyntheticToxin"
"3238","T3D0951","Pesticide"
"3239","T3D0951","SyntheticToxin"
"3240","T3D0952","Pesticide"
"3241","T3D0952","SyntheticToxin"
"3242","T3D0953","Pesticide"
"3243","T3D0953","SyntheticToxin"
"3244","T3D0954","Pesticide"
"3245","T3D0954","SyntheticToxin"
"3246","T3D0955","Pesticide"
"3247","T3D0955","SyntheticToxin"
"3248","T3D0956","Pesticide"
"3249","T3D0956","SyntheticToxin"
"3250","T3D0957","Pesticide"
"3251","T3D0957","SyntheticToxin"
"3252","T3D0959","Pesticide"
"3253","T3D0959","SyntheticToxin"
"3254","T3D0960","Pesticide"
"3255","T3D0960","SyntheticToxin"
"3256","T3D0961","Pesticide"
"3257","T3D0961","SyntheticToxin"
"3258","T3D0962","Pesticide"
"3259","T3D0962","SyntheticToxin"
"3260","T3D0963","Pesticide"
"3261","T3D0963","SyntheticToxin"
"3262","T3D0964","Pesticide"
