"","accession","categories"
"170","T3D0039","Pollutant"
"171","T3D0039","FoodToxin"
"172","T3D0039","SyntheticToxin"
"173","T3D0040","Industrial/WorkplaceToxin"
"174","T3D0040","Pollutant"
"175","T3D0040","AirbornePollutant"
"176","T3D0040","SyntheticToxin"
"177","T3D0041","Pesticide"
"178","T3D0041","Pollutant"
"179","T3D0041","FoodToxin"
"180","T3D0041","SyntheticToxin"
"181","T3D0042","CigaretteToxin"
"182","T3D0042","Industrial/WorkplaceToxin"
"183","T3D0042","Pollutant"
"184","T3D0042","AirbornePollutant"
"185","T3D0042","FoodToxin"
"186","T3D0042","NaturalToxin"
"187","T3D0043","Pesticide"
"188","T3D0043","Pollutant"
"189","T3D0043","SyntheticToxin"
"190","T3D0044","Pesticide"
"191","T3D0044","Pollutant"
"192","T3D0044","AirbornePollutant"
"193","T3D0044","SyntheticToxin"
"194","T3D0045","Pesticide"
"195","T3D0045","Industrial/WorkplaceToxin"
"196","T3D0045","Pollutant"
"197","T3D0045","AirbornePollutant"
"198","T3D0045","SyntheticToxin"
"199","T3D0046","Pesticide"
"200","T3D0046","Pollutant"
"201","T3D0046","SyntheticToxin"
"202","T3D0047","Pesticide"
"203","T3D0047","HouseholdToxin"
"204","T3D0047","Industrial/WorkplaceToxin"
"205","T3D0047","Pollutant"
"206","T3D0047","AirbornePollutant"
"207","T3D0047","FoodToxin"
"208","T3D0047","SyntheticToxin"
"209","T3D0048","Industrial/WorkplaceToxin"
"210","T3D0048","Pollutant"
"211","T3D0048","AirbornePollutant"
"212","T3D0048","PolychlorinatedBiphenyl"
"213","T3D0048","SyntheticToxin"
"214","T3D0049","CigaretteToxin"
"215","T3D0049","HouseholdToxin"
"216","T3D0049","Industrial/WorkplaceToxin"
"217","T3D0049","Pollutant"
"218","T3D0049","AirbornePollutant"
"219","T3D0049","FoodToxin"
"220","T3D0049","NaturalToxin"
"221","T3D0050","Pesticide"
"222","T3D0050","SyntheticToxin"
"223","T3D0051","Industrial/WorkplaceToxin"
"224","T3D0051","Pollutant"
"225","T3D0051","AirbornePollutant"
"226","T3D0051","PolychlorinatedBiphenyl"
"227","T3D0051","SyntheticToxin"
"228","T3D0052","HouseholdToxin"
"229","T3D0052","Industrial/WorkplaceToxin"
"230","T3D0052","Pollutant"
"231","T3D0052","AirbornePollutant"
"232","T3D0052","FoodToxin"
"233","T3D0052","NaturalToxin"
"234","T3D0053","HouseholdToxin"
"235","T3D0053","Industrial/WorkplaceToxin"
"236","T3D0053","Pollutant"
"237","T3D0053","AirbornePollutant"
"238","T3D0053","FoodToxin"
"239","T3D0053","NaturalToxin"
"240","T3D0055","Pesticide"
"241","T3D0055","Pollutant"
"242","T3D0055","FoodToxin"
"243","T3D0055","SyntheticToxin"
"244","T3D0056","Pesticide"
"245","T3D0056","HouseholdToxin"
"246","T3D0056","FoodToxin"
"247","T3D0056","SyntheticToxin"
"248","T3D0058","Industrial/WorkplaceToxin"
"249","T3D0058","Pollutant"
"250","T3D0058","AirbornePollutant"
"251","T3D0058","FoodToxin"
"252","T3D0058","NaturalToxin"
"253","T3D0059","Pesticide"
"254","T3D0059","SyntheticToxin"
"255","T3D0061","Pesticide"
"256","T3D0061","HouseholdToxin"
"257","T3D0061","Pollutant"
"258","T3D0061","AirbornePollutant"
"259","T3D0061","SyntheticToxin"
"260","T3D0062","CigaretteToxin"
"261","T3D0062","Industrial/WorkplaceToxin"
"262","T3D0062","Pollutant"
"263","T3D0062","FoodToxin"
"264","T3D0062","NaturalToxin"
"265","T3D0063","Pesticide"
"266","T3D0063","SyntheticToxin"
"267","T3D0064","Pesticide"
"268","T3D0064","SyntheticToxin"
"269","T3D0065","Industrial/WorkplaceToxin"
"270","T3D0065","Pollutant"
"271","T3D0065","AirbornePollutant"
"272","T3D0065","SyntheticToxin"
"273","T3D0066","Industrial/WorkplaceToxin"
"274","T3D0066","FoodToxin"
"275","T3D0066","NaturalToxin"
"276","T3D0067","Pesticide"
"277","T3D0067","Pollutant"
"278","T3D0067","FoodToxin"
"279","T3D0067","SyntheticToxin"
"280","T3D0069","Pesticide"
"281","T3D0069","Pollutant"
