"","accession","smpdb"
"200","T3D3955","SMP00294"
"201","T3D3999","SMP00051"
"202","T3D4001","SMP00051"
"203","T3D4001","SMP00060"
"204","T3D4056","SMP00075"
"205","T3D4061","SMP00051"
"206","T3D4069","SMP00051"
"207","T3D4069","SMP00075"
"208","T3D4069","SMP00478"
"209","T3D4073","SMP00039"
"210","T3D4082","SMP00478"
"211","T3D4086","SMP00462"
"212","T3D4113","SMP00015"
"213","T3D4113","SMP00075"
"214","T3D4149","SMP00004"
"215","T3D4149","SMP00020"
"216","T3D4149","SMP00188"
"217","T3D4149","SMP00214"
"218","T3D4149","SMP00357"
"219","T3D4149","SMP00504"
"220","T3D4150","SMP00050"
"221","T3D4150","SMP00203"
"222","T3D4150","SMP00220"
"223","T3D4150","SMP00512"
"224","T3D4150","SMP00513"
"225","T3D4152","SMP00063"
"226","T3D4152","SMP00189"
"227","T3D4154","SMP00006"
"228","T3D4154","SMP00012"
"229","T3D4156","SMP00004"
"230","T3D4156","SMP00013"
"231","T3D4156","SMP00015"
"232","T3D4156","SMP00019"
"233","T3D4156","SMP00021"
"234","T3D4156","SMP00027"
"235","T3D4156","SMP00033"
"236","T3D4156","SMP00183"
"237","T3D4156","SMP00341"
"238","T3D4156","SMP00501"
"239","T3D4157","SMP00063"
"240","T3D4160","SMP00063"
"241","T3D4161","SMP00004"
"242","T3D4161","SMP00012"
"243","T3D4161","SMP00033"
"244","T3D4161","SMP00123"
"245","T3D4161","SMP00177"
"246","T3D4161","SMP00214"
"247","T3D4161","SMP00221"
"248","T3D4161","SMP00340"
"249","T3D4161","SMP00455"
"250","T3D4161","SMP00515"
"251","T3D4161","SMP00543"
"252","T3D4161","SMP00570"
"253","T3D4162","SMP00005"
"254","T3D4162","SMP00489"
"255","T3D4165","SMP00063"
"256","T3D4166","SMP00445"
"257","T3D4167","SMP00033"
"258","T3D4167","SMP00445"
"259","T3D4168","SMP00048"
"260","T3D4169","SMP00033"
"261","T3D4169","SMP00445"
"262","T3D4178","SMP00048"
"263","T3D4179","SMP00048"
"264","T3D4213","SMP00478"
"265","T3D4234","SMP00051"
"266","T3D4235","SMP00075"
"267","T3D4237","SMP00006"
"268","T3D4237","SMP00008"
"269","T3D4237","SMP00020"
"270","T3D4237","SMP00057"
"271","T3D4237","SMP00059"
"272","T3D4237","SMP00067"
"273","T3D4237","SMP00350"
"274","T3D4237","SMP00355"
"275","T3D4237","SMP00547"
"276","T3D4237","SMP00549"
"277","T3D4240","SMP00068"
"278","T3D4240","SMP00356"
"279","T3D4240","SMP00373"
"280","T3D4240","SMP00565"
"281","T3D4242","SMP00356"
"282","T3D4244","SMP00130"
"283","T3D4244","SMP00372"
"284","T3D4244","SMP00373"
"285","T3D4244","SMP00566"
"286","T3D4245","SMP00130"
"287","T3D4245","SMP00566"
"288","T3D4247","SMP00136"
"289","T3D4248","SMP00019"
"290","T3D4248","SMP00037"
"291","T3D4248","SMP00066"
"292","T3D4248","SMP00136"
"293","T3D4248","SMP00239"
"294","T3D4248","SMP00350"
"295","T3D4248","SMP00465"
"296","T3D4248","SMP00527"
"297","T3D4248","SMP00528"
"298","T3D4250","SMP00072"
"299","T3D4250","SMP00136"
"300","T3D4250","SMP00243"
"301","T3D4250","SMP00351"
"302","T3D4250","SMP00385"
"303","T3D4250","SMP00567"
"304","T3D4251","SMP00136"
"305","T3D4253","SMP00060"
"306","T3D4253","SMP00128"
"307","T3D4253","SMP00137"
"308","T3D4253","SMP00174"
"309","T3D4253","SMP00196"
"310","T3D4253","SMP00212"
"311","T3D4253","SMP00235"
"312","T3D4253","SMP00313"
"313","T3D4253","SMP00334"
"314","T3D4253","SMP00374"
"315","T3D4253","SMP00384"
"316","T3D4253","SMP00551"
"317","T3D4253","SMP00555"
"318","T3D4253","SMP00562"
"319","T3D4253","SMP00573"
